"Nombre Estación","Red","Código","Latitud(°)","Longitud(°)","Localizador","Elevación(msnn)","Dist.Epi(km)","Dist.Hip(km)","PGA EW(cm/s^2)","PGA NS(cm/s^2)","PGA Z(cm/s^2)"
"Lejanias, Meta, Colombia","CM","CLEJA","3.54","-74.04","10","749","18","22","211.571503","154.685973","260.713861"
"Uribe, Meta, Colombia","CM","URMC","3.25","-74.38","10","725","32","35","169.281938","151.780748","61.589335"
"Prado, Tolima, Colombia","CM","PRA","3.71","-74.89","00","457","83","84","11.874118","17.070913","8.687314"
"Villavicencio, Meta, Colombia","CM","VIL","4.11","-73.69","10","1109","91","92","33.019603","28.796772","18.130522"
"Cerro Cruz Verde, Chipaque, Cundinamarca, Colombia","CM","CVER","4.52","-74.07","10","3604","119","119","4.936411","9.583502","4.628935"
"Ortega, Tolima, Colombia","CM","ORTC","3.91","-75.25","10","446","128","129","15.166909","15.562012","9.647732"
"Bogota, SGC","CM","BOG","4.64","-74.08","10","2584","132","132","7.356425","11.218661","4.811732"
"Chingaza, Cundinamarca","CM","CHI","4.63","-73.74","00","3140","139","140","4.534995","5.773616","2.723247"
"La Macarena, Meta, Colombia","CM","MACC","2.15","-73.85","10","283","151","152","55.931016","56.46681","11.438397"
"El Rosal, Cundinamarca, Colombia","CM","ROSC","4.84","-74.32","10","2987","155","155","3.100814","3.032414","2.221647"
"Embalse de Betania","CM","BET","2.72","-75.42","10","540","160","160","4.035472","5.253461","3.681472"
"Planadas, Tolima, Colombia","CM","PLNC","3.19","-75.65","10","1229","165","166","23.490923","18.57133","14.099975"
"Cerro Tablazo, Cundinamarca, Colombia","CM","TABC","5.01","-74.2","20","3500","173","173","","","2.314951"
"La Bella, Planadas, Tolima","CM","BELO","3.05","-75.81","00","2518","186","187","22.805704","32.617773","13.748548"
"San Jose del Guaviare, Guaviare, Colombia","CM","GUA","2.54","-72.63","10","217","201","201","55.204597","33.110485","22.660689"
"Garzon, Huila, Colombia","CM","GARC","2.19","-75.49","10","1999","203","204","31.656811","21.466594","17.35772"
"Volcan Nevado del Huila, Cauca, Colombia","CM","MARO","2.84","-75.95","00","2207","209","209","18.476777","14.299755","7.778011"
"Villamaria, Caldas","CM","RECRC","4.96","-75.35","10","4136","211","212","27.629239","15.059694","4.339916"
"Barrio Niza, Manizales","CM","NIZA","5.06","-75.47","10","2240","228","228","2.871199","2.507995","1.338978"
"Manizales, Caldas, Colombia","CM","MAN1C","5.07","-75.52","10","2199","233","233","11.190736","7.732549","3.780129"
"Puerto Gaitan, Meta, Colombia","CM","PTGC","4.2","-72.13","00","170","242","242","11.947412","6.906326","4.406657"
"San Pablo de Borbur, Boyaca, Colombia","CM","SPBC","5.65","-74.07","10","783","244","245","1.722083","2.835121","1.377572"
"Norcasia, Caldas, Colombia","CM","NOR","5.56","-74.87","10","536","246","246","8.071371","7.067863","2.138289"
"Yotoco, Valle, Colombia","CM","YOT","3.98","-76.34","10","1040","247","247","2.264831","2.554314","1.451366"
"Cali SGC, Valle","CM","RAC2C","3.37","-76.53","10","988","261","261","7.220132","5.596047","2.521721"
"Florencia, Caqueta, Colombia","CM","FLO2","1.58","-75.65","10","365","265","266","6.15823","6.081816","4.903842"
"Jamundi, Valle del Cauca, Colombia","CM","JAMC","3.21","-76.67","10","1760","278","278","2.548818","4.06952","1.184595"
