"Nombre Estación","Red","Código","Latitud(°)","Longitud(°)","Localizador","Elevación(msnm)","Dist.Epi(km)","Dist.Hip(km)","PGA EW(cm/s^2)","PGA NS(cm/s^2)","PGA Z(cm/s^2)"
"San Jacinto, Bolivar, Colombia","CM","SJC","9.9","-75.18","10","596","124","134","10.169465","8.599575","3.589105"
"Patio Geologia","CM","DRL04","9.61","-73.52","10","81","125","134","12.19857","14.290569","4.915494"
"Ocana, Norte de Santander, Colombia","CM","OCA","8.24","-73.32","10","1264","155","163","33.199609","30.536634","14.375745"
"San Jose de Ure, Cordoba, Colombia","CM","URE","7.75","-75.53","10","251","182","189","15.470867","13.764573","5.609434"
"Los Cordobas, Cordoba, Colombia","CM","LCBC","8.86","-76.37","00","75","208","214","3.88293","5.509388","2.413753"
"Barrancabermeja, Santander, Colombia","CM","BRJC","6.97","-73.74","10","108","242","247","6.311936","8.446106","1.83402"
"Apartado, Antioquia, Colombia","CM","APAC","7.9","-76.58","10","103.9","262","267","0.539296","0.648993","0.507534"
"Pamplona, Norte de Santander, Colombia","CM","PAM","7.34","-72.7","10","3676","271","276","2.639185","2.524985","2.267175"
"Piedecuesta, Santander, Colombia","CM","PDSC","6.99","-73.06","10","958","275","279","3.530056","3.10677","0.693375"
"Puerto Berrio, Antioquia, Colombia","CM","PTB","6.54","-74.46","10","260","276","280","4.312949","3.413382","2.052156"
"Barichara, Santander, Colombia","CM","BAR2","6.59","-73.18","10","1864","306","310","6.238839","7.837842","2.235437"
"Capurgana, Choco, Colombia","CM","CAP2","8.64","-77.36","10","221","319","323","4.006358","3.497216","2.233852"
"Medellin, Antioquia, Colombia","CM","MEDEC","6.28","-75.59","10","1552","328","332","1.040325","1.012022","1.18377"
"San Pablo de Borbur, Boyaca, Colombia","CM","SPBC","5.65","-74.07","10","783","377","381","0.914933","1.122184","0.503381"
"La Rusia, Boyaca, Colombia","CM","RUS","5.89","-73.08","00","3697","381","384","0.790426","0.894475","0.669897"
"Ciudad Bolivar, Antioquia, Colombia","CM","CBOC","5.86","-76.01","00","1401","389","392","0.255605","0.275472","0.123784"
"Uribia, Guajira, Colombia","CM","URI","11.7","-71.99","10","68","405","408","0.914105","0.878476","0.573226"
"Punta Ardita, Choco, Colombia","CM","PTA","7.15","-77.81","10","78","421","424","2.517449","2.429986","1.029994"
"Villamaria, Caldas, Colombia","CM","GUY2C","5.22","-75.36","10","3605","433","436","0.27432","0.320025","0.184488"
"Manizales, Caldas, Colombia","CM","MAN1C","5.07","-75.52","10","2199","454","457","1.276475","1.706065","0.834539"
"Barrio Niza, Manizales","CM","NIZA","5.06","-75.47","10","2240","454","457","0.301773","0.24581","0.171025"
"Villamaria, Caldas","CM","RECRC","4.96","-75.35","10","4136","462","464","0.727293","0.420134","0.165392"
"Yopal, Casanare, Colombia","CM","YPLC","5.4","-72.38","10","696","465","468","0.596869","0.902469","0.523977"
"Chingaza, Cundinamarca","CM","CHI","4.63","-73.74","00","3140","495","498","0.305786","0.331654","0.133583"
"San Jose del Palmar, Choco, Colombia","CM","PAL","4.9","-76.28","10","675","499","501","0.162742","0.197048","0.091846"
"Calarca, Quindio, Colombia","CM","CCALA","4.51","-75.63","10","1795","517","520","0.057466","0.067651","0.061795"
"Pizarro, Choco, Colombia","CM","PIZC","4.97","-77.36","10","38","551","554","0.065291","0.065488","0.050955"
"Prado, Tolima, Colombia","CM","PRA","3.71","-74.89","00","457","592","594","0.180319","0.268809","0.173395"
"Yotoco, Valle, Colombia","CM","YOT","3.98","-76.34","10","1040","597","599","0.024888","0.030427","0.021901"
"Lejanias, Meta, Colombia","CM","CLEJA","3.54","-74.04","10","749","612","614","0.245084","0.286479","0.173634"
"Colombia, Huila, Colombia","CM","CLBC","3.38","-74.8","10","785","629","631","0.247554","0.271699","0.141545"
"Uribe, Meta, Colombia","CM","URMC","3.25","-74.38","10","725","642","644","0.206449","0.214901","0.099847"
"Planadas, Tolima, Colombia","CM","PLNC","3.19","-75.65","10","1229","661","663","0.342579","0.324478","0.171089"
"Jamundi, Valle del Cauca, Colombia","CM","JAMC","3.21","-76.67","10","1760","690","692","0.036817","0.048832","0.018677"
"Volcan Nevado del Huila, Cauca, Colombia","CM","MARO","2.84","-75.95","00","2207","706","708","0.065732","0.057031","0.02822"
"Embalse de Betania","CM","BET","2.72","-75.42","10","540","708","710","0.060075","0.047975","0.03208"
"Popayan, Cauca, Colombia","CM","POP2","2.54","-76.68","10","1869","761","762","0.013549","0.009287","0.0193"
"Garzon, Huila, Colombia","CM","GARC","2.19","-75.49","10","1999","768","770","0.150409","0.100298","0.053943"
"La Macarena, Meta, Colombia","CM","MACC","2.15","-73.85","10","283","768","770","0.148473","0.181747","0.071618"
"Volcan Sotara, Cauca, Colombia","CM","SOTO","2.13","-76.61","00","3795","801","803","0.040258","0.040735","0.018069"
"Florencia, Caqueta, Colombia","CM","FLO2","1.58","-75.65","10","365","838","839","0.06463","0.051393","0.040281"
"La Cruz, Narino, Colombia","CM","CRU","1.57","-76.95","10","2761","873","874","0.06123","0.075666","0.038667"
"Isla de San Andres, Colombia","CM","SAIC","12.54","-81.71","10","31","882","883","0.094207","0.075687","0.04177"
"Providencia, Archipielago de San Andres, Colombia","CM","PRV","13.38","-81.36","10","38","894","895","0.057229","0.069678","0.048269"
