"Nombre Estación","Red","Código","Latitud(°)","Longitud(°)","Localizador","Elevación(msnn)","Dist.Epi(km)","Dist.Hip(km)","PGA EW(cm/s^2)","PGA NS(cm/s^2)","PGA Z(cm/s^2)"
"Lejanias, Meta, Colombia","CM","CLEJA","3.54","-74.04","10","749","17","17","5.965993","5.896352","12.108038"
"Uribe, Meta, Colombia","CM","URMC","3.25","-74.38","10","725","33","33","14.632866","16.801564","10.030474"
"Colombia, Huila, Colombia","CM","CLBC","3.38","-74.8","10","785","70","70","1.873223","1.774367","1.283821"
"Prado, Tolima, Colombia","CM","PRA","3.71","-74.89","00","457","84","84","0.57875","1.104624","0.474898"
"Villavicencio, Meta, Colombia","CM","VIL","4.11","-73.69","10","1109","90","90","1.713897","1.171925","0.872467"
"Cerro Cruz Verde, Chipaque, Cundinamarca, Colombia","CM","CVER","4.52","-74.07","10","3604","118","118","0.179759","0.26798","0.13655"
"Chingaza, Cundinamarca","CM","CHI","4.63","-73.74","00","3140","139","139","0.148634","0.251663","0.129595"
"La Macarena, Meta, Colombia","CM","MACC","2.15","-73.85","10","283","151","151","1.737577","1.705396","0.467161"
"El Rosal, Cundinamarca, Colombia","CM","ROSC","4.84","-74.32","10","2987","155","155","0.320935","0.182371","0.09774"
"Embalse de Betania","CM","BET","2.72","-75.42","10","540","161","161","0.236687","0.249241","0.165127"
"Cerro Tablazo, Cundinamarca, Colombia","CM","TABC","5.01","-74.2","20","3500","172","172","","","0.092717"
"Calarca, Quindio, Colombia","CM","CCALA","4.51","-75.63","10","1795","199","199","0.515273","0.596488","0.3903"
"San Jose del Guaviare, Guaviare, Colombia","CM","GUA","2.54","-72.63","10","217","200","200","1.904225","1.480133","0.949892"
"Garzon, Huila, Colombia","CM","GARC","2.19","-75.49","10","1999","204","204","1.93349","1.308068","1.381493"
"Volcan Nevado del Huila, Cauca, Colombia","CM","MARO","2.84","-75.95","00","2207","210","210","1.251333","0.820354","0.361599"
"Villamaria, Caldas","CM","RECRC","4.96","-75.35","10","4136","212","212","1.067861","0.748678","0.24672"
"Villamaria, Caldas, Colombia","CM","GUY2C","5.22","-75.36","10","3605","236","236","0.076051","0.065582","0.064186"
"Puerto Gaitan, Meta, Colombia","CM","PTGC","4.2","-72.13","00","170","241","241","0.133999","0.117442","0.155152"
"San Pablo de Borbur, Boyaca, Colombia","CM","SPBC","5.65","-74.07","10","783","244","244","0.090129","0.112637","0.061179"
"Yotoco, Valle, Colombia","CM","YOT","3.98","-76.34","10","1040","248","248","0.078645","0.090136","0.077533"
"Florencia, Caqueta, Colombia","CM","FLO2","1.58","-75.65","10","365","266","266","0.271649","0.293999","0.231402"
"Popayan, Cauca, Colombia","CM","POP2","2.54","-76.68","10","1869","296","296","0.037889","0.039568","0.033284"
"La Rusia, Boyaca, Colombia","CM","RUS","5.89","-73.08","00","3697","296","296","0.052341","0.051195","0.024365"
"Ciudad Bolivar, Antioquia, Colombia","CM","CBOC","5.86","-76.01","00","1401","336","336","0.016261","0.015043","0.01057"
"Santa Helena, Medellin, Colombia","CM","HEL","6.19","-75.53","00","2857","339","339","0.03572","0.025939","0.024866"
"Barichara, Santander, Colombia","CM","BAR2","6.59","-73.18","10","1864","365","365","0.05808","0.067544","0.027109"
"La Cruz, Narino, Colombia","CM","CRU","1.57","-76.95","10","2761","374","374","0.2012","0.226757","0.090218"
"Barrancabermeja, Santander, Colombia","CM","BRJC","6.97","-73.74","10","108","394","394","0.036067","0.036785","0.027221"
"Pasto Obonuco, Narino","CM","PAS1","1.19","-77.33","10","3227","433","433","0.019525","0.018726","0.008913"
"Ocana, Norte de Santander, Colombia","CM","OCA","8.24","-73.32","10","1264","540","540","0.031958","0.040907","0.02318"
