"Nombre Estación","Red","Código","Latitud(°)","Longitud(°)","Localizador","Elevación(msnn)","Dist.Epi(km)","Dist.Hip(km)","PGA EW(cm/s^2)","PGA NS(cm/s^2)","PGA Z(cm/s^2)"
"Zaragoza, Antioquia, Colombia","CM","ZAR","7.49","-74.86","00","205","73","89","44.455374","19.277036","11.125887"
"Barrancabermeja, Santander, Colombia","CM","BRJC","6.97","-73.74","10","108","115","126","14.343317","20.459369","5.338786"
"Ocana, Norte de Santander, Colombia","CM","OCA","8.24","-73.32","10","1264","117","128","39.638557","34.65675","26.672288"
"San Jose de Ure, Cordoba, Colombia","CM","URE","7.75","-75.53","10","251","136","146","16.65246","41.928588","12.190758"
"Puerto Berrio, Antioquia, Colombia","CM","PTB","6.54","-74.46","00","260","146","155","6.065747","5.847526","4.497169"
"Bucaramanga, Santander, Colombia","CM","CBUIS","7.14","-73.12","10","1015","152","161","7.590716","7.460532","5.200454"
"Piedecuesta, Santander, Colombia","CM","PDSC","6.99","-73.06","10","958","166","174","4.174169","4.279649","2.307462"
"Pamplona, Norte de Santander, Colombia","CM","PAM","7.34","-72.7","10","3676","185","192","7.722367","5.525033","3.210715"
"Barichara, Santander, Colombia","CM","BAR2","6.59","-73.18","10","1864","186","193","7.610222","7.354859","3.562208"
"Cucuta, Norte de Santande, Colombia","CM","CCUC3","7.87","-72.5","10","439","198","205","8.279526","8.367583","4.786424"
"Ariguani, Magdalena, Colombia","CM","ARGC","9.86","-74.25","10","187","224","230","2.911519","2.277759","1.372371"
"Medellin, Antioquia, Colombia","CM","MEDEC","6.28","-75.59","10","1552","225","231","7.480687","3.767188","2.098761"
"Santa Helena, Medellin, Colombia","CM","HEL","6.19","-75.53","00","2857","229","235","1.538786","1.120063","0.953328"
"Dabeiba, Antioquia, Colombia","CM","DBB","7.02","-76.21","10","756","230","236","0.729532","0.748632","0.702023"
"San Jacinto, Bolivar, Colombia","CM","SJC","9.9","-75.18","10","596","248","253","1.08098","1.102173","0.691063"
"Apartado, Antioquia, Colombia","CM","APAC","7.9","-76.58","10","103.9","252","257","0.734762","0.854972","0.509073"
"Los Cordobas, Cordoba, Colombia","CM","LCBC","8.86","-76.37","00","75","254","259","1.026617","1.133515","0.502358"
"La Rusia, Boyaca, Colombia","CM","RUS","5.89","-73.08","00","3697","256","261","1.270228","1.393154","0.79925"
"Norcasia, Caldas, Colombia","CM","NOR","5.56","-74.87","10","536","262","267","3.43977","5.504961","1.430254"
"Ciudad Bolivar, Antioquia, Colombia","CM","CBOC","5.86","-76.01","00","1401","291","295","0.402044","0.45052","0.272903"
"Villamaria, Caldas, Colombia","CM","GUY2C","5.22","-75.36","10","3605","315","319","0.582894","0.665784","0.499073"
"Cerro Tablazo, Cundinamarca, Colombia","CM","TABC","5.01","-74.2","20","3500","316","320","","","0.564916"
"El Rosal, Cundinamarca, Colombia","CM","ROSC","4.84","-74.32","10","2987","334","338","0.582005","0.844409","0.38181"
"Manizales, Caldas, Colombia","CM","MAN1C","5.07","-75.52","10","2199","337","341","3.673696","2.712032","1.32887"
"Quibdo, Choco, Colombia","CM","QUBC","5.75","-76.52","10","92","339","342","0.633776","0.620222","0.230387"
"Villamaria, Caldas","CM","RECRC","4.96","-75.35","10","4136","342","345","2.006475","1.119506","0.282476"
"Yopal, Casanare, Colombia","CM","YPLC","5.4","-72.38","10","696","345","349","0.763806","1.018976","0.473421"
"Capurgana, Choco, Colombia","CM","CAP2","8.64","-77.36","10","221","349","353","1.923265","1.348097","0.641833"
"Chingaza, Cundinamarca","CM","CHI","4.63","-73.74","10","3140","363","367","0.931916","0.669172","0.3142"
"Santa Marta, Magdalena, Colombia","CM","SMAR","11.16","-74.22","10","122","370","373","1.046335","0.738083","0.521848"
"Cerro Cruz Verde, Chipaque, Cundinamarca, Colombia","CM","CVER","4.52","-74.07","10","3604","371","374","0.639888","0.813491","0.373365"
"Cerrejon, Guajira, Colombia","CM","CRJC","11.02","-72.88","00","827","386","390","1.874361","2.620813","0.965089"
"Bahia Solano, Choco, Colombia","CM","SOL","6.23","-77.41","10","38","388","391","0.262553","0.300562","0.122643"
"Ibague, Tolima","CM","IBA1C","4.45","-75.24","10","1289","392","395","0.846046","0.819852","1.013367"
"San Jose del Palmar, Choco, Colombia","CM","PAL","4.9","-76.28","10","675","394","397","0.40249","0.564506","0.509638"
"Punta Ardita, Choco, Colombia","CM","PTA","7.15","-77.81","10","78","395","398","3.357746","1.970335","0.433999"
