"Nombre Estación","Red","Código","Latitud(°)","Longitud(°)","Localizador","Elevación(msnn)","Dist.Epi(km)","Dist.Hip(km)","PGA EW(cm/s^2)","PGA NS(cm/s^2)","PGA Z(cm/s^2)"
"Apartado, Antioquia, Colombia","CM","APAC","7.9","-76.58","10","103.9","72","86","0.721658","0.707861","0.649788"
"Los Cordobas, Cordoba, Colombia","CM","LCBC","8.86","-76.37","00","75","97","108","0.489948","0.699448","0.275482"
"San Carlos, Cordoba, Colombia","CM","SCLC","8.77","-75.69","10","56","159","166","0.056712","0.064816","0.049112"
"Dabeiba, Antioquia, Colombia","CM","DBB","7.02","-76.21","10","756","174","180","0.170249","0.17907","0.16455"
"San Jose de Ure, Cordoba, Colombia","CM","URE","7.75","-75.53","10","251","181","187","1.271223","1.002912","0.484218"
"San Jacinto, Bolivar, Colombia","CM","SJC","9.9","-75.18","10","596","271","275","0.054549","0.070062","0.037082"
"Santa Helena, Medellin, Colombia","CM","HEL","6.19","-75.53","00","2857","293","297","0.02143","0.021013","0.019323"
"Quibdo, Choco, Colombia","CM","QUBC","5.75","-76.52","10","92","294","298","0.038643","0.051191","0.021192"
"Ciudad Bolivar, Antioquia, Colombia","CM","CBOC","5.86","-76.01","00","1401","298","302","0.032839","0.03359","0.030051"
"Puerto Berrio, Antioquia, Colombia","CM","PTB","6.54","-74.46","10","260","351","354","0.280984","0.220185","0.146118"
"Ariguani, Magdalena, Colombia","CM","ARGC","9.86","-74.25","10","187","354","357","0.026036","0.02014","0.024107"
"Norcasia, Caldas, Colombia","CM","NOR","5.56","-74.87","10","536","392","395","0.022422","0.024563","0.011574"
"Villamaria, Caldas, Colombia","CM","GUY2C","5.22","-75.36","10","3605","394","397","0.006084","0.007818","0.006475"
"Barrancabermeja, Santander, Colombia","CM","BRJC","6.97","-73.74","10","108","397","400","0.369858","0.334385","0.133157"
"Ocana, Norte de Santander, Colombia","CM","OCA","8.24","-73.32","10","1264","413","416","0.242971","0.251092","0.28477"
"Pirana, Nevado del Ruiz, Colombia","CM","PIRM","4.9","-75.28","00","4473.6","430","432","0.003854","0.004492","0.003629"
"San Pablo de Borbur, Boyaca, Colombia","CM","SPBC","5.65","-74.07","10","783","446","448","0.024249","0.046384","0.016277"
"Floridablanca, Santander, Colombia","CM","CBUCF","7.07","-73.07","10","1147","463","465","0.303783","0.279299","0.102822"
"Barichara, Santander, Colombia","CM","BAR2","6.59","-73.18","10","1864","471","473","0.170349","0.15772","0.101977"
"Pamplona, Norte de Santander, Colombia","CM","PAM","7.34","-72.7","10","3676","494","497","0.081423","0.085721","0.04562"
