"Nombre Estación","Red","Código","Latitud(°)","Longitud(°)","Localizador","Elevación(msnn)","Dist.Epi(km)","Dist.Hip(km)","PGA EW(cm/s^2)","PGA NS(cm/s^2)","PGA Z(cm/s^2)"
"Barichara, Santander, Colombia","CM","BAR2","6.59","-73.18","10","1864","24","149","2.579488","2.945132","1.174056"
"Floridablanca, Santander, Colombia","CM","CBUCF","7.07","-73.07","10","1147","35","151","1.424232","2.010723","0.703697"
"Bucaramanga, Santander, Colombia","CM","CBUIS","7.14","-73.12","10","1015","40","152","2.098249","2.041956","1.292783"
"Barrancabermeja, Santander, Colombia","CM","BRJC","6.97","-73.74","10","108","59","159","1.114601","1.503167","0.55047"
"Pamplona, Norte de Santander, Colombia","CM","PAM","7.34","-72.7","10","3676","84","169","0.403055","0.446995","0.287048"
"Pamplona, Norte de Santander, Colombia","CM","CPAMP","7.38","-72.64","10","2384","92","174","0.474489","0.458103","0.208495"
"La Rusia, Boyaca, Colombia","CM","RUS","5.89","-73.08","00","3697","103","180","0.498427","0.419046","0.215444"
"Puerto Berrio, Antioquia, Colombia","CM","PTB","6.54","-74.46","10","260","138","202","2.091417","1.641887","1.17524"
"Cucuta, Norte de Santande, Colombia","CM","CCUC3","7.87","-72.5","10","439","144","206","0.434469","0.400918","0.274636"
"San Pablo de Borbur, Boyaca, Colombia","CM","SPBC","5.65","-74.07","10","783","158","216","0.595142","1.100494","0.469619"
"Ocana, Norte de Santander, Colombia","CM","OCA","8.24","-73.32","10","1264","160","217","1.29596","1.119562","0.977545"
"Tame, Arauca, Colombia","CM","TAM","6.44","-71.79","10","462.1","165","221","0.279066","0.177112","0.478703"
"Yopal, Casanare, Colombia","CM","YPLC","5.4","-72.38","10","696","183","235","0.379586","0.747822","0.348754"
"Cerro Tablazo, Cundinamarca, Colombia","CM","TABC","5.01","-74.2","20","3500","227","270","","","0.188391"
"Norcasia, Caldas, Colombia","CM","NOR","5.56","-74.87","10","536","228","271","0.39804","0.495228","0.198951"
"Chingaza, Cundinamarca","CM","CHI","4.63","-73.74","10","3140","248","289","0.204823","0.207071","0.120671"
"El Rosal, Cundinamarca, Colombia","CM","ROSC","4.84","-74.32","10","2987","249","289","0.210265","0.333799","0.165807"
"Bogota, SGC","CM","BOG","4.64","-74.08","10","2584","258","297","0.378082","0.399699","0.583474"
"Santa Helena, Medellin, Colombia","CM","HEL","6.19","-75.53","00","2857","263","301","0.147012","0.123611","0.117842"
"Medellin, Antioquia, Colombia","CM","MEDEC","6.28","-75.59","10","1552","267","305","0.278866","0.552928","1.149421"
"Cerro Cruz Verde, Chipaque, Cundinamarca, Colombia","CM","CVER","4.52","-74.07","10","3604","271","308","0.126668","0.161639","0.130378"
"San Jose de Ure, Cordoba, Colombia","CM","URE","7.75","-75.53","10","251","275","312","0.449925","1.251672","0.290034"
"Villamaria, Caldas, Colombia","CM","GUY2C","5.22","-75.36","10","3605","294","329","0.09098","0.101826","0.081047"
"Villavicencio, Meta, Colombia","CM","VIL","4.11","-73.69","10","1109","304","338","0.26211","0.251264","0.107413"
"Pirana, Nevado del Ruiz, Colombia","CM","PIRM","4.9","-75.28","00","4473.6","310","343","0.117247","0.109998","0.070288"
"Riosucio, Caldas, Colombia","CM","RIO2C","5.42","-75.71","10","1958","314","347","0.00874","0.009211","0.006711"
"Barrio Niza, Manizales","CM","NIZA","5.06","-75.47","10","2240","315","347","0.102993","0.121105","0.081974"
"Puerto Gaitan, Meta, Colombia","CM","PTGC","4.2","-72.13","00","170","315","347","0.338305","0.435871","0.381404"
"Manizales, Caldas, Colombia","CM","MAN1C","5.07","-75.52","10","2199","318","351","0.342022","0.363364","0.09422"
"Acacias, Meta, Colombia","CM","ACH1","3.94","-73.67","10","491","322","354","0.153035","0.111359","0.076959"
"Acacias, Meta, Colombia","CM","ACH6","3.9","-73.78","00","566","329","361","0.092571","0.096629","0.060678"
"Dabeiba, Antioquia, Colombia","CM","DBB","7.02","-76.21","10","756","330","361","0.110665","0.123821","0.095678"
"San Carlos, Cordoba, Colombia","CM","SCLC","8.77","-75.69","10","56","348","378","0.063096","0.056259","0.038486"
"Salento, Quindio, Colombia","CM","SLNT","4.64","-75.57","10","1990","354","383","0.15873","0.125676","0.067249"
"Ariguani, Magdalena, Colombia","CM","ARGC","9.86","-74.25","10","187","358","387","0.057997","0.064695","0.042343"
"Armenia, Quindio","CM","ARMEC","4.56","-75.66","10","1554","367","395","0.189541","0.201332","0.073188"
"Calarca, Quindio, Colombia","CM","CCALA","4.51","-75.63","10","1795","368","396","0.020977","0.040125","0.018786"
"Quibdo, Choco, Colombia","CM","QUBC","5.75","-76.52","10","92","382","409","0.084989","0.116483","0.030136"
"Apartado, Antioquia, Colombia","CM","APAC","7.9","-76.58","10","103.9","389","416","0.059616","0.057795","0.034161"
"Prado, Tolima, Colombia","CM","PRA","3.71","-74.89","00","457","390","416","0.145789","0.141222","0.079336"
"Ortega, Tolima, Colombia","CM","ORTC","3.91","-75.25","10","446","392","419","0.089529","0.124845","0.057057"
"San Juan de Arama, Meta, Colombia","CM","ARAMC","3.35","-73.94","00","665","393","419","0.149756","0.22587","0.150085"
"San Jacinto, Bolivar, Colombia","CM","SJC","9.9","-75.18","10","596","405","431","0.081181","0.065149","0.052943"
"Valledupar, Cesar","CM","VALLC","10.51","-73.26","10","354","412","438","0.253848","0.220923","0.105255"
"Los Cordobas, Cordoba, Colombia","CM","LCBC","8.86","-76.37","00","75","414","439","0.05182","0.078713","0.086169"
"Uribe, Meta, Colombia","CM","URMC","3.25","-74.38","10","725","416","441","0.168094","0.133155","0.080826"
"Colombia, Huila, Colombia","CM","CLBC","3.38","-74.8","10","785","419","444","0.126862","0.163163","0.091559"
"Bahia Solano, Choco, Colombia","CM","SOL","6.23","-77.41","10","38","466","489","0.019031","0.025607","0.031544"
"Cerrejon, Guajira, Colombia","CM","CRJC","11.02","-72.88","00","827","471","493","0.094424","0.08996","0.05943"
"San Jose del Guaviare, Guaviare, Colombia","CM","GUA","2.54","-72.63","10","217","479","501","0.233967","0.36805","0.088647"
"Planadas, Tolima, Colombia","CM","PLNC","3.19","-75.65","10","1229","483","505","0.105287","0.128696","0.096982"
"Embalse de Betania","CM","BET","2.72","-75.42","10","540","515","535","0.015205","0.018642","0.012299"
"La Macarena, Meta, Colombia","CM","MACC","2.15","-73.85","10","283","523","543","0.046942","0.078932","0.021616"
"Cali SGC, Valle","CM","RAC2C","3.37","-76.53","10","988","528","549","0.050639","0.054627","0.146209"
"Volcan Nevado del Huila, Cauca, Colombia","CM","MARO","2.84","-75.95","00","2207","534","554","0.02628","0.029047","0.012614"
"Bahia Malaga, Valle del Cauca, Colombia","CM","MAL","4.01","-77.33","10","112","550","570","0.031042","0.046534","0.012572"
"Jamundi, Valle del Cauca, Colombia","CM","JAMC","3.21","-76.67","10","1760","552","571","0.020881","0.032114","0.012651"
"Uribia, Guajira, Colombia","CM","URI","11.7","-71.99","10","68","562","581","0.027859","0.024403","0.012724"
"Garzon, Huila, Colombia","CM","GARC","2.19","-75.49","10","1999","572","590","0.055259","0.036042","0.042472"
