"Nombre Estación","Red","Código","Latitud(°)","Longitud(°)","Localizador","Elevación(msnn)","Dist.Epi(km)","Dist.Hip(km)","PGA EW(cm/s^2)","PGA NS(cm/s^2)","PGA Z(cm/s^2)"
"Barichara, Santander, Colombia","CM","BAR2","6.59","-73.18","10","1864","30","152","1.042282","1.222229","0.422755"
"Pamplona, Norte de Santander, Colombia","CM","PAM","7.34","-72.7","10","3676","71","165","0.251382","0.169165","0.23315"
"Barrancabermeja, Santander, Colombia","CM","BRJC","6.97","-73.74","10","108","73","166","0.630944","0.803519","0.294078"
"La Rusia, Boyaca, Colombia","CM","RUS","5.89","-73.08","00","3697","106","183","0.342233","0.230852","0.15471"
"Bochalema, Norte de Santander, Colombia","CM","BLMC","7.71","-72.6","10","996","111","186","0.029991","0.188334","0.12231"
"Tame, Arauca, Colombia","CM","TAM","6.44","-71.79","10","462.1","152","213","0.111734","0.091266","0.230599"
"Puerto Berrio, Antioquia, Colombia","CM","PTB","6.54","-74.46","10","260","154","214","0.834903","0.797609","0.498848"
"Ocana, Norte de Santander, Colombia","CM","OCA","8.24","-73.32","10","1264","157","217","0.449947","0.394589","0.336434"
"San Pablo de Borbur, Boyaca, Colombia","CM","SPBC","5.65","-74.07","10","783","171","227","0.396258","0.819348","0.241019"
"Yopal, Casanare, Colombia","CM","YPLC","5.4","-72.38","10","696","180","234","0.115433","0.205402","0.17355"
"Cerro Tablazo, Cundinamarca, Colombia","CM","TABC","5.01","-74.2","20","3500","238","281","","","0.044034"
"Norcasia, Caldas, Colombia","CM","NOR","5.56","-74.87","10","536","242","285","0.241005","0.334494","0.103697"
"Chingaza, Cundinamarca","CM","CHI","4.63","-73.74","10","3140","257","297","0.050712","0.063264","0.038177"
"El Rosal, Cundinamarca, Colombia","CM","ROSC","4.84","-74.32","10","2987","261","300","0.095207","0.087388","0.062378"
"Santa Helena, Medellin, Colombia","CM","HEL","6.19","-75.53","00","2857","278","316","0.054456","0.059253","0.034322"
"San Jose de Ure, Cordoba, Colombia","CM","URE","7.75","-75.53","10","251","287","323","0.230256","0.319923","0.120395"
"Villamaria, Caldas, Colombia","CM","GUY2C","5.22","-75.36","10","3605","309","343","0.038337","0.038245","0.031812"
"Villavicencio, Meta, Colombia","CM","VIL","4.11","-73.69","10","1109","311","345","0.071911","0.081306","0.040007"
"Puerto Gaitan, Meta, Colombia","CM","PTGC","4.2","-72.13","00","170","314","347","0.046702","0.054044","0.059692"
"Pirana, Nevado del Ruiz, Colombia","CM","PIRM","4.9","-75.28","00","4473.6","324","357","0.037937","0.052111","0.023738"
"Dabeiba, Antioquia, Colombia","CM","DBB","7.02","-76.21","10","756","344","375","0.049041","0.054653","0.034239"
"San Carlos, Cordoba, Colombia","CM","SCLC","8.77","-75.69","10","56","357","387","0.016883","0.019478","0.011559"
"Ariguani, Magdalena, Colombia","CM","ARGC","9.86","-74.25","10","187","358","388","0.005208","0.005014","0.013418"
"Calarca, Quindio, Colombia","CM","CCALA","4.51","-75.63","10","1795","382","410","0.015916","0.023799","0.008828"
"Prado, Tolima, Colombia","CM","PRA","3.71","-74.89","00","457","401","428","0.048294","0.055109","0.057989"
"Apartado, Antioquia, Colombia","CM","APAC","7.9","-76.58","10","103.9","402","429","0.016653","0.024941","0.010499"
"Ortega, Tolima, Colombia","CM","ORTC","3.91","-75.25","10","446","404","431","0.050769","0.051463","0.03278"
"San Jacinto, Bolivar, Colombia","CM","SJC","9.9","-75.18","10","596","410","436","0.023262","0.026242","0.014272"
"San Jose del Palmar, Choco, Colombia","CM","PAL","4.9","-76.28","10","675","413","440","0.041256","0.067364","0.043832"
"Los Cordobas, Cordoba, Colombia","CM","LCBC","8.86","-76.37","00","75","424","450","0.019228","0.014495","0.010611"
"Uribe, Meta, Colombia","CM","URMC","3.25","-74.38","10","725","425","450","0.048705","0.07881","0.031638"
"Colombia, Huila, Colombia","CM","CLBC","3.38","-74.8","10","785","430","455","0.13978","0.076848","0.131252"
"Cerrejon, Guajira, Colombia","CM","CRJC","11.02","-72.88","00","827","465","489","0.021027","0.011149","0.031616"
"Yotoco, Valle, Colombia","CM","YOT","3.98","-76.34","10","1040","480","503","0.007618","0.009856","0.005893"
"Bahia Solano, Choco, Colombia","CM","SOL","6.23","-77.41","10","38","481","504","0.065245","0.051584","0.066325"
"San Jose del Guaviare, Guaviare, Colombia","CM","GUA","2.54","-72.63","10","217","482","504","0.072036","0.0754","0.029896"
