"Nombre Estación","Red","Código","Latitud(°)","Longitud(°)","Localizador","Elevación(msnn)","Dist.Epi(km)","Dist.Hip(km)","PGA EW(cm/s^2)","PGA NS(cm/s^2)","PGA Z(cm/s^2)"
"Puerto Berrio, Antioquia, Colombia","CM","PTB","6.54","-74.46","10","260","65","67","8.838097","5.226826","3.56601"
"Medellin, Antioquia, Colombia","CM","MEDEC","6.28","-75.59","10","1552","106","107","2.30989","2.780695","1.318108"
"Santa Helena, Medellin, Colombia","CM","HEL","6.19","-75.53","00","2857","108","109","0.692881","0.518391","0.392006"
"San Jose de Ure, Cordoba, Colombia","CM","URE","7.75","-75.53","10","251","116","117","2.366847","4.523267","1.706612"
"Barrancabermeja, Santander, Colombia","CM","BRJC","6.97","-73.74","10","108","127","128","3.031717","1.692699","1.352841"
"Dabeiba, Antioquia, Colombia","CM","DBB","7.02","-76.21","10","756","146","147","0.222581","0.23577","0.135766"
"Norcasia, Caldas, Colombia","CM","NOR","5.56","-74.87","10","536","152","153","2.17034","1.824952","0.735059"
"San Pablo de Borbur, Boyaca, Colombia","CM","SPBC","5.65","-74.07","10","783","169","169","0.342886","0.602083","0.234199"
"Barichara, Santander, Colombia","CM","BAR2","6.59","-73.18","10","1864","193","194","1.552509","0.96067","0.608549"
"Villamaria, Caldas, Colombia","CM","GUY2C","5.22","-75.36","10","3605","197","197","0.089073","0.111181","0.102914"
"Murindo, Antioquia, Colombia","CM","MRND","6.99","-76.78","10","24","208","209","0.291169","0.235731","0.103752"
"Apartado, Antioquia, Colombia","CM","APAC","7.9","-76.58","10","103.9","215","216","0.071196","0.099505","0.063063"
"Manizales, Caldas, Colombia","CM","MAN1C","5.07","-75.52","10","2199","218","219","0.170113","0.215116","0.328916"
"Quibdo, Choco, Colombia","CM","QUBC","5.75","-76.52","10","92","223","223","0.207522","0.276309","0.049633"
"San Carlos, Cordoba, Colombia","CM","SCLC","8.77","-75.69","10","56","223","224","0.11125","0.119011","0.067084"
"Ocana, Norte de Santander, Colombia","CM","OCA","8.24","-73.32","10","1264","227","228","0.659604","0.645175","0.512088"
"Cerro Tablazo, Cundinamarca, Colombia","CM","TABC","5.01","-74.2","20","3500","227","227","","","0.081606"
"Pirana, Nevado del Ruiz, Colombia","CM","PIRM","4.9","-75.28","00","4473.6","229","230","0.092289","0.132995","0.062877"
"La Rusia, Boyaca, Colombia","CM","RUS","5.89","-73.08","00","3697","231","232","0.392814","0.28997","0.191132"
"El Rosal, Cundinamarca, Colombia","CM","ROSC","4.84","-74.32","10","2987","240","241","0.175445","0.228989","0.108265"
"Pamplona, Norte de Santander, Colombia","CM","PAM","7.34","-72.7","10","3676","247","247","0.72351","0.621289","0.284379"
"Pamplona, Norte de Santander, Colombia","CM","CPAMP","7.38","-72.64","10","2384","254","255","1.124596","0.92881","0.521891"
"Pereira, Risaralda, Colombia","CM","CPER3","4.81","-75.74","10","1318","254","254","0.33551","0.313215","0.160407"
"Circasia, Quindio, Colombia","CM","CIRS","4.64","-75.61","30","1950","266","267","0.294256","0.456419","0.10453"
"Salento, Quindio, Colombia","CM","SLNT","4.64","-75.57","10","1990","266","266","0.202661","0.190791","0.201439"
"Bochalema, Norte de Santander, Colombia","CM","BLMC","7.71","-72.6","10","996","268","268","0.108249","0.098145","0.085843"
"Los Cordobas, Cordoba, Colombia","CM","LCBC","8.86","-76.37","00","75","269","270","0.120313","0.085731","0.074407"
"San Jose del Palmar, Choco, Colombia","CM","PAL","4.9","-76.28","10","675","273","273","0.099044","0.134561","0.07202"
"Armenia, Quindio","CM","ARMEC","4.56","-75.66","10","1554","277","278","0.161667","0.164499","0.071269"
"Calarca, Quindio, Colombia","CM","CCALA","4.51","-75.63","10","1795","281","282","0.025342","0.039342","0.02112"
"Cerro Cruz Verde, Chipaque, Cundinamarca, Colombia","CM","CVER","4.52","-74.07","10","3604","283","283","0.141791","0.113889","0.068505"
"Penas Blanca Quindio","UQ","PBLC","4.48","-75.63","00","2094","284","285","0.03033","0.052012","0.026505"
"Chingaza, Cundinamarca","CM","CHI","4.63","-73.74","10","3140","286","287","0.089355","0.113702","0.029581"
"Genova, Quindio, Colombia","CM","CGENO","4.25","-75.79","10","1513","314","315","0.015711","0.015002","0.014374"
"Yopal, Casanare, Colombia","CM","YPLC","5.4","-72.38","10","696","326","327","0.079297","0.088805","0.038462"
"San Jacinto, Bolivar, Colombia","CM","SJC","9.9","-75.18","10","596","332","332","0.104089","0.099516","0.038596"
"Ariguani, Magdalena, Colombia","CM","ARGC","9.86","-74.25","10","187","334","334","0.036257","0.030693","0.021543"
"Ortega, Tolima, Colombia","CM","ORTC","3.91","-75.25","10","446","338","339","0.067174","0.104815","0.035301"
"Villavicencio, Meta, Colombia","CM","VIL","4.11","-73.69","10","1109","341","341","0.268738","0.186931","0.068779"
