"Nombre Estación","Red","Código","Latitud(°)","Longitud(°)","Localizador","Elevación(msnn)","Dist.Epi(km)","Dist.Hip(km)","PGA EW(cm/s^2)","PGA NS(cm/s^2)","PGA Z(cm/s^2)"
"Murindo, Antioquia, Colombia","CM","MRND","6.99","-76.78","10","24","23","55","47.38185","44.253006","28.825777"
"Dabeiba, Antioquia, Colombia","CM","DBB","7.02","-76.21","10","756","69","86","3.143394","3.391515","2.876996"
"Bahia Solano, Choco, Colombia","CM","SOL","6.23","-77.41","10","38","92","105","1.53492","2.32278","0.910545"
"Quibdo, Choco, Colombia","CM","QUBC","5.75","-76.52","10","92","119","129","3.858422","3.430333","1.104652"
"Apartado, Antioquia, Colombia","CM","APAC","7.9","-76.58","10","103.9","127","136","0.291812","0.434381","0.295025"
"Medellin, Antioquia, Colombia","CM","MEDEC","6.28","-75.59","10","1552","144","153","1.145479","1.574781","1.077858"
"Santa Helena, Medellin, Colombia","CM","HEL","6.19","-75.53","00","2857","154","162","0.245702","0.363627","0.154527"
"San Jose de Ure, Cordoba, Colombia","CM","URE","7.75","-75.53","10","251","176","183","2.776549","2.371875","0.51162"
"San Jose del Palmar, Choco, Colombia","CM","PAL","4.9","-76.28","10","675","216","222","0.878001","1.136871","0.459166"
"Villamaria, Caldas, Colombia","CM","GUY2C","5.22","-75.36","10","3605","235","240","0.083871","0.113241","0.084588"
"Los Cordobas, Cordoba, Colombia","CM","LCBC","8.86","-76.37","00","75","236","241","0.095294","0.073794","0.072256"
"Barrio Niza, Manizales","CM","NIZA","5.06","-75.47","10","2240","241","246","0.094689","0.080787","0.061777"
"Norcasia, Caldas, Colombia","CM","NOR","5.56","-74.87","10","536","252","257","0.112904","0.173807","0.115906"
"San Carlos, Cordoba, Colombia","CM","SCLC","8.77","-75.69","10","56","252","257","0.055263","0.05971","0.023997"
"Pirana, Nevado del Ruiz, Colombia","CM","PIRM","4.9","-75.28","00","4473.6","268","272","0.060537","0.069","0.04414"
"Salento, Quindio, Colombia","CM","SLNT","4.64","-75.57","10","1990","274","279","0.388126","0.41509","0.573486"
"Calarca, Quindio, Colombia","CM","CCALA","4.51","-75.63","10","1795","284","288","0.06559","0.078759","0.061966"
"Genova, Quindio, Colombia","CM","CGENO","4.25","-75.79","10","1513","303","307","0.039885","0.045581","0.044168"
