"Nombre Estación","Red","Código","Latitud(°)","Longitud(°)","Localizador","Elevación(msnm)","Dist.Epi(km)","Dist.Hip(km)","PGA EW(cm/s^2)","PGA NS(cm/s^2)","PGA Z(cm/s^2)"
"Cucuta, Norte de Santander, Colombia","CM","CCUC3","7.87","-72.5","10","439","20","20","27.43043","36.134707","28.632438"
"Bochalema, Norte de Santander, Colombia","CM","BLMC","7.71","-72.6","10","996","35","35","4.429854","3.347538","2.035216"
"Barichara, Santander, Colombia","CM","BAR2","6.59","-73.18","10","1864","172","172","0.733123","0.946679","0.350561"
"Barrancabermeja, Santander, Colombia","CM","BRJC","6.97","-73.74","10","108","173","173","0.884632","0.927297","0.292802"
"Tame, Arauca, Colombia","CM","TAM","6.44","-71.79","10","462.1","198","198","1.565413","1.040733","0.570949"
"Arauca, Arauca, Colombia","CM","ARAUC","7.06","-70.71","10","129","234","234","0.639294","0.420221","0.241078"
"La Rusia, Boyaca, Colombia","CM","RUS","5.89","-73.08","00","3697","243","243","0.154004","0.131265","0.092304"
"Zaragoza, Antioquia, Colombia","CM","ZAR","7.49","-74.86","00","205","257","257","0.420695","0.352248","0.151152"
"Puerto Berrio, Antioquia, Colombia","CM","PTB","6.54","-74.46","10","260","264","264","0.189108","0.222385","0.127022"
"Puerto Berrio 1, Antioquia","CM","PTB1","6.53","-74.46","00","141","265","265","0.057177","0.109857","0.099474"
"Ariguani, Magdalena, Colombia","CM","ARGC","9.86","-74.25","10","187","273","273","0.092134","0.096665","0.069433"
"Yopal, Casanare, Colombia","CM","YPLC","5.4","-72.38","10","696","293","293","0.17713","0.196389","0.08881"
"Yopal, Casanare, Colombia","CM","CYOPA","5.37","-72.41","10","407","296","296","0.361141","0.235121","0.273401"
"San Pablo de Borbur, Boyaca, Colombia","CM","SPBC","5.65","-74.07","10","783","310","310","0.118637","0.167069","0.061797"
"San Jose de Ure, Cordoba, Colombia","CM","URE","7.75","-75.53","10","251","326","326","0.314078","0.574873","0.088857"
"Cerrejon, Guajira, Colombia","CM","CRJC","11.02","-72.88","00","827","335","335","0.350309","0.295074","0.180838"
"San Carlos, Cordoba, Colombia","CM","SCLC","8.77","-75.69","10","56","351","351","0.025272","0.027279","0.016585"
"Norcasia, Caldas, Colombia","CM","NOR","5.56","-74.87","10","536","372","372","0.037373","0.060112","0.025355"
"Cerro Tablazo, Cundinamarca, Colombia","CM","TABC","5.01","-74.2","20","3500","380","380","","","0.025486"
"Santa Helena, Medellin, Colombia","CM","HEL","6.19","-75.53","00","2857","383","383","0.07409","0.09383","0.03336"
"Medellin, Antioquia, Colombia","CM","MEDEC","6.28","-75.59","10","1552","384","384","0.153154","0.202575","0.55155"
"Santa Marta, Magdalena, Colombia","CM","SMAR","11.16","-74.22","10","122","393","393","0.071884","0.061114","0.045397"
"Chingaza, Cundinamarca","CM","CHI","4.63","-73.74","10","3140","398","398","0.027038","0.029908","0.020172"
"Bogota, SGC","CM","BOG","4.64","-74.08","11","2584","411","411","0.041619","0.034142","0.025326"
"Dabeiba, Antioquia, Colombia","CM","DBB","7.02","-76.21","10","756","415","415","0.029349","0.030172","0.012734"
"Uribia, Guajira, Colombia","CM","URI","11.7","-71.99","10","68","415","415","0.058878","0.049948","0.04133"
"Cerro Cruz Verde, Chipaque, Cundinamarca, Colombia","CM","CVER","4.52","-74.07","10","3604","423","423","0.031063","0.0548","0.02962"
"Los Cordobas, Cordoba, Colombia","CM","LCBC","8.86","-76.37","00","75","426","426","0.024057","0.028033","0.030763"
"Puerto Gaitan, Meta, Colombia","CM","PTGC","4.2","-72.13","00","170","429","429","0.066862","0.088781","0.080835"
"Villamaria, Caldas, Colombia","CM","GUY2C","5.22","-75.36","10","3605","437","437","0.02654","0.042337","0.028656"
"Apartado, Antioquia, Colombia","CM","APAC","7.9","-76.58","10","103.9","440","440","0.029582","0.031227","0.015986"
"Ciudad Bolivar, Antioquia, Colombia","CM","CBOC","5.86","-76.01","00","1401","448","448","0.019777","0.014206","0.012794"
"Riosucio, Caldas, Colombia","CM","RIO2C","5.42","-75.71","10","1958","450","450","0.015102","0.019256","0.015082"
"Villavicencio, Meta, Colombia","CM","VIL","4.11","-73.69","10","1109","452","452","0.095292","0.086721","0.044907"
"Pirana, Nevado del Ruiz, Colombia","CM","PIRM","4.9","-75.28","00","4473.6","457","457","0.031152","0.046694","0.016986"
"Barrio Niza, Manizales","CM","NIZA","5.06","-75.47","10","2240","459","459","0.034887","0.032282","0.020957"
