"Nombre Estación","Red","Código","Latitud(°)","Longitud(°)","Localizador","Elevación(msnm)","Dist.Epi(km)","Dist.Hip(km)","PGA EW(cm/s^2)","PGA NS(cm/s^2)","PGA Z(cm/s^2)"
"Apartado, Antioquia, Colombia","CM","APAC","7.9","-76.58","10","103.9","88","106","1.505547","1.857233","1.109887"
"Dabeiba, Antioquia, Colombia","CM","DBB","7.02","-76.21","10","756","97","113","1.21633","0.771299","0.53142"
"San Jose de Ure, Cordoba, Colombia","CM","URE","7.75","-75.53","10","251","177","186","0.683286","1.404883","0.317479"
"Quibdo, Choco, Colombia","CM","QUBC","5.75","-76.52","10","92","178","187","1.386014","1.229757","0.287391"
"Ciudad Bolivar, Antioquia, Colombia","CM","CBOC","5.86","-76.01","00","1401","193","202","0.208627","0.233308","0.190865"
"Los Cordobas, Cordoba, Colombia","CM","LCBC","8.86","-76.37","00","75","193","202","0.367762","0.417366","0.158813"
"Medellin, Antioquia, Colombia","CM","MEDEC","6.28","-75.59","10","1552","195","204","0.398568","0.655001","0.19607"
"Santa Helena, Medellin, Colombia","CM","HEL","6.19","-75.53","00","2857","206","214","0.082452","0.096513","0.10338"
"San Carlos, Cordoba, Colombia","CM","SCLC","8.77","-75.69","10","56","225","233","0.077948","0.069077","0.03193"
"Zaragoza, Antioquia, Colombia","CM","ZAR","7.49","-74.86","00","205","244","250","0.315311","0.202356","0.134507"
"Riosucio, Caldas, Colombia","CM","RIO2C","5.42","-75.71","10","1958","253","259","0.082383","0.123072","0.088567"
"San Jose del Palmar, Choco, Colombia","CM","PAL","4.9","-76.28","10","675","275","281","0.299206","0.241756","0.11636"
"Villamaria, Caldas, Colombia","CM","GUY2C","5.22","-75.36","10","3605","294","299","0.047592","0.051986","0.065209"
"Manizales, Caldas, Colombia","CM","MAN1C","5.07","-75.52","10","2199","296","302","0.485409","0.62911","1.345051"
"Puerto Berrio, Antioquia, Colombia","CM","PTB","6.54","-74.46","10","260","298","303","0.098588","0.079962","0.071298"
"Puerto Berrio 1, Antioquia","CM","PTB1","6.53","-74.46","00","141","298","303","0.077393","0.050102","0.044964"
"Barrio Niza, Manizales","CM","NIZA","5.06","-75.47","10","2240","301","307","0.062516","0.056968","0.057311"
"Pereira, Risaralda, Colombia","CM","CPER3","4.81","-75.74","10","1318","309","315","0.983645","0.975096","0.601572"
"Pirana, Nevado del Ruiz, Colombia","CM","PIRM","4.9","-75.28","00","4473.6","327","332","0.028847","0.037708","0.02553"
