"Nombre Estación","Red","Código","Latitud(°)","Longitud(°)","Localizador","Elevación(msnm)","Dist.Epi(km)","Dist.Hip(km)","PGA EW(cm/s^2)","PGA NS(cm/s^2)","PGA Z(cm/s^2)"
"Santa Marta, Magdalena, Colombia","CM","SMAR","11.16","-74.22","10","122","44","46","6.605624","4.53284","3.54056"
"Cerrejon, Guajira, Colombia","CM","CRJC","11.02","-72.88","00","827","109","110","1.434913","1.660611","0.84175"
"Riohacha, Guajira, Colombia","CM","CGUAG","11.54","-72.9","10","28","125","126","0.741261","0.640565","0.38135"
"Ariguani, Magdalena, Colombia","CM","ARGC","9.86","-74.25","10","187","128","129","0.392279","0.215225","0.260886"
"San Jacinto, Bolivar, Colombia","CM","SJC","9.9","-75.18","10","596","184","185","0.31949","0.200067","0.098125"
"Ocana, Norte de Santander, Colombia","CM","OCA","8.24","-73.32","10","1264","308","308","0.228651","0.297685","0.220768"
"San Carlos, Cordoba, Colombia","CM","SCLC","8.77","-75.69","10","56","314","314","0.010436","0.014784","0.014212"
"Los Cordobas, Cordoba, Colombia","CM","LCBC","8.86","-76.37","00","75","359","359","0.017062","0.03253","0.081593"
"Cucuta, Norte de Santander, Colombia","CM","CCUC3","7.87","-72.5","10","439","375","375","0.105834","0.130213","0.072379"
"Bochalema, Norte de Santander, Colombia","CM","BLMC","7.71","-72.6","10","996","388","388","0.045781","0.010792","0.02214"
"San Jose de Ure, Cordoba, Colombia","CM","URE","7.75","-75.53","10","251","400","400","0.070198","0.084308","0.052299"
"Zaragoza, Antioquia, Colombia","CM","ZAR","7.49","-74.86","00","205","400","400","0.129832","0.086298","0.048254"
"Pamplona, Norte de Santander, Colombia","CM","CPAMP","7.38","-72.64","10","2384","420","421","0.033845","0.081303","0.039255"
"Pamplona, Norte de Santander, Colombia","CM","PAM","7.34","-72.7","10","3676","422","423","0.02763","0.033298","0.019863"
"Barrancabermeja, Santander, Colombia","CM","BRJC","6.97","-73.74","10","108","443","443","0.103426","0.110619","0.031269"
"Apartado, Antioquia, Colombia","CM","APAC","7.9","-76.58","10","103.9","451","451","0.008284","0.009801","0.013164"
"Barichara, Santander, Colombia","CM","BAR2","6.59","-73.18","10","1864","491","491","0.069469","0.020143","0.017943"
"Puerto Berrio, Antioquia, Colombia","CM","PTB","6.54","-74.46","10","260","495","495","0.052435","0.04143","0.033992"
"Puerto Berrio 1, Antioquia","CM","PTB1","6.53","-74.46","00","141","496","496","0.004388","0.00334","0.010822"
