"Nombre Estación","Red","Código","Latitud(°)","Longitud(°)","Localizador","Elevación(msnm)","Dist.Epi(km)","Dist.Hip(km)","PGA EW(cm/s^2)","PGA NS(cm/s^2)","PGA Z(cm/s^2)"
"Barichara, Santander, Colombia","CM","BAR2","6.59","-73.18","10","1864","26","152","1.351507","1.572603","1.002246"
"Barrancabermeja, Santander, Colombia","CM","BRJC","6.97","-73.74","10","108","69","165","1.203351","1.828596","0.562028"
"Pamplona, Norte de Santander, Colombia","CM","PAM","7.34","-72.7","10","3676","75","168","0.701285","0.773958","0.814976"
"Pamplona, Norte de Santander, Colombia","CM","CPAMP","7.38","-72.64","10","2384","83","172","1.335387","1.100285","1.573567874e+66"
"La Rusia, Boyaca, Colombia","CM","RUS","5.89","-73.08","00","3697","104","183","0.314515","0.245354","0.146359"
"Bochalema, Norte de Santander, Colombia","CM","BLMC","7.71","-72.6","10","996","115","189","0.282517","0.373768","0.267194"
"Puerto Berrio, Antioquia, Colombia","CM","PTB","6.54","-74.46","10","260","149","211","2.60404","2.774649","1.966212"
"Puerto Berrio 1, Antioquia","CM","PTB1","6.53","-74.46","00","141","149","212","0.309651","0.316149","0.353108"
"Tame, Arauca, Colombia","CM","TAM","6.44","-71.79","10","462.1","155","216","0.230092","0.156978","0.164088"
"Ocana, Norte de Santander, Colombia","CM","OCA","8.24","-73.32","10","1264","159","219","1.295928","1.468169","1.428536"
"Yopal, Casanare, Colombia","CM","YPLC","5.4","-72.38","10","696","180","234","0.194802","0.358894","0.246267"
"Yopal, Casanare, Colombia","CM","CYOPA","5.37","-72.41","10","407","181","235","0.689888","0.423107","0.425797"
"Zaragoza, Antioquia, Colombia","CM","ZAR","7.49","-74.86","00","205","204","253","1.677638","0.804151","0.410897"
"Norcasia, Caldas, Colombia","CM","NOR","5.56","-74.87","10","536","237","281","0.436379","0.631721","0.187134"
"Chingaza, Cundinamarca","CM","CHI","4.63","-73.74","10","3140","253","294","0.101035","0.125094","0.040118"
"Bogota, SGC","CM","BOG","4.64","-74.08","10","2584","264","304","0.809823","0.690622","0.587368"
"Santa Helena, Medellin, Colombia","CM","HEL","6.19","-75.53","00","2857","273","312","0.157506","0.101012","0.069675"
"San Jose de Ure, Cordoba, Colombia","CM","URE","7.75","-75.53","10","251","284","321","0.632421","0.783798","0.475375"
"Villamaria, Caldas, Colombia","CM","GUY2C","5.22","-75.36","10","3605","304","339","0.058674","0.060116","0.051296"
"Villavicencio, Meta, Colombia","CM","VIL","4.11","-73.69","10","1109","308","343","0.145807","0.135555","0.410933"
"Puerto Gaitan, Meta, Colombia","CM","PTGC","4.2","-72.13","00","170","313","347","0.077861","0.093136","0.083499"
"Barrio Niza, Manizales","CM","NIZA","5.06","-75.47","10","2240","324","357","0.065149","0.075604","0.05016"
"Riosucio, Caldas, Colombia","CM","RIO2C","5.42","-75.71","10","1958","324","357","0.028521","0.042881","0.033394"
"Manizales, Caldas, Colombia","CM","MAN1C","5.07","-75.52","10","2199","328","361","0.42183","0.319012","1.05144"
"Ciudad Bolivar, Antioquia, Colombia","CM","CBOC","5.86","-76.01","00","1401","335","367","0.040551","0.045977","0.051787"
"Dabeiba, Antioquia, Colombia","CM","DBB","7.02","-76.21","10","756","340","372","0.128564","0.134913","0.07977"
"Ibague, Tolima","CM","IBA1C","4.45","-75.24","10","1289","352","383","0.329135","0.423684","0.197298"
"San Carlos, Cordoba, Colombia","CM","SCLC","8.77","-75.69","10","56","355","385","0.044591","0.046794","0.026267"
"Ariguani, Magdalena, Colombia","CM","ARGC","9.86","-74.25","10","187","359","389","0.046308","0.047781","0.054983"
"Salento, Quindio, Colombia","CM","SLNT","4.64","-75.57","10","1990","363","393","0.091413","0.100581","0.304818"
"Calarca, Quindio, Colombia","CM","CCALA","4.51","-75.63","10","1795","377","406","0.020561","0.028111","0.018169"
"Lejanias, Meta, Colombia","CM","CLEJA","3.54","-74.04","10","749","379","408","0.14086","0.028711","0.001494"
"Quibdo, Choco, Colombia","CM","QUBC","5.75","-76.52","10","92","392","420","0.252149","0.141341","0.172132"
"Puerto Gaitan, Meta, Colombia","CM","PGA6","3.78","-71.33","00","177","394","422","0.028777","0.027243","0.030799"
