"Nombre Estación","Red","Código","Latitud(°)","Longitud(°)","Localizador","Elevación(msnm)","Dist.Epi(km)","Dist.Hip(km)","PGA EW(cm/s^2)","PGA NS(cm/s^2)","PGA Z(cm/s^2)"
"San Jose del Palmar, Choco, Colombia","CM","PAL","4.9","-76.28","10","675","20","89","5.967218","7.420715","2.69044"
"Pereira, Risaralda, Colombia","CM","CPER3","4.81","-75.74","10","1318","77","116","3.786242","7.28134","2.708385"
"Quibdo, Choco, Colombia","CM","QUBC","5.75","-76.52","10","92","78","117","2.093139","2.602282","0.66598"
"Riosucio, Caldas, Colombia","CM","RIO2C","5.42","-75.71","10","1958","84","121","0.314259","0.508399","0.220115"
"Filandia, Quindio, Colombia","CM","FLND","4.69","-75.62","30","2010","94","128","1.98887","1.860294","2.471081"
"Manizales, Caldas, Colombia","CM","MAN1C","5.07","-75.52","10","2199","95","128","0.879195","0.91985","0.65511"
"Armenia, Quindio","CM","ARMEC","4.56","-75.66","10","1554","98","131","4.074404","3.303071","1.57276"
"Ciudad Bolivar, Antioquia, Colombia","CM","CBOC","5.86","-76.01","00","1401","98","131","0.642067","0.449799","0.324753"
"Circasia, Quindio, Colombia","CM","CIRS","4.64","-75.61","30","1950","98","131","3.098833","3.413964","1.539184"
"Barrio Niza, Manizales","CM","NIZA","5.06","-75.47","10","2240","101","133","0.249164","0.178964","0.224587"
"Salento, Quindio, Colombia","CM","SLNT","4.64","-75.57","10","1990","102","133","1.007008","1.393034","1.234709"
"Calarca, Quindio, Colombia","CM","CCALA","4.51","-75.63","10","1795","104","135","1.028215","1.424215","0.565948"
"Genova, Quindio, Colombia","CM","CGENO","4.25","-75.79","10","1513","112","142","0.440341","0.414211","0.308792"
"Villamaria, Caldas, Colombia","CM","GUY2C","5.22","-75.36","10","3605","114","143","0.170701","0.114623","0.198041"
"Pirana, Nevado del Ruiz, Colombia","CM","PIRM","4.9","-75.28","00","4473.6","123","150","0.075161","0.101734","0.060943"
"Ibague, Tolima","CM","IBA1C","4.45","-75.24","10","1289","144","168","0.640362","0.423909","0.341952"
"Santa Helena, Medellin, Colombia","CM","HEL","6.19","-75.53","00","2857","157","179","0.106449","0.075831","0.053022"
"Bahia Malaga, Valle del Cauca, Colombia","CM","MAL","4.01","-77.33","10","112","158","180","0.831151","0.174336","0.019574"
"Medellin, Antioquia, Colombia","CM","MEDEC","6.28","-75.59","10","1552","161","183","0.269616","0.334183","0.3578"
"Norcasia, Caldas, Colombia","CM","NOR","5.56","-74.87","10","536","177","197","0.282166","0.352697","0.187558"
"Ortega, Tolima, Colombia","CM","ORTC","3.91","-75.25","10","446","180","199","0.59002","0.552899","0.298438"
"Cali SGC, Valle","CM","RAC2C","3.37","-76.53","10","988","189","208","0.316106","0.330453","0.290346"
"Jamundi, Valle del Cauca, Colombia","CM","JAMC","3.21","-76.67","10","1760","208","225","0.320645","0.577896","0.206678"
"Dabeiba, Antioquia, Colombia","CM","DBB","7.02","-76.21","10","756","219","235","0.055028","0.073874","0.05157"
"Murindo, Antioquia, Colombia","CM","MRND","6.99","-76.78","10","24","219","236","0.362725","0.385597","0.170215"
"Prado, Tolima, Colombia","CM","PRA","3.71","-74.89","00","457","224","240","0.113469","0.199322","0.105597"
"Volcan Nevado del Huila, Cauca, Colombia","CM","MARO","2.84","-75.95","00","2207","251","266","0.210704","0.264921","0.203492"
"Bogota, SGC","CM","BOG","4.64","-74.08","11","2584","259","273","0.060857","0.035338","0.039677"
"Puerto Berrio, Antioquia, Colombia","CM","PTB","6.54","-74.46","10","260","269","283","0.170835","0.164887","0.135183"
"Puerto Berrio 1, Antioquia","CM","PTB1","6.53","-74.46","00","141","269","282","0.046006","0.037909","0.029901"
"Embalse de Betania","CM","BET","2.72","-75.42","10","540","281","294","0.054212","0.065971","0.071716"
"Chingaza, Cundinamarca","CM","CHI","4.63","-73.74","10","3140","297","309","0.019919","0.020945","0.021922"
"Uribe, Meta, Colombia","CM","URMC","3.25","-74.38","10","725","300","313","0.110905","0.106538","0.079623"
"Volcan Purace, Cauca, Colombia","CM","CONO","2.33","-76.4","00","4294","304","316","0.060723","0.06645","0.03127"
"Isla Gorgona, Poblado Guapi, Cauca, Colombia","CM","GRPC","2.97","-78.17","10","13","307","319","0.060057","0.054782","0.024262"
"Lejanias, Meta, Colombia","CM","CLEJA","3.54","-74.04","10","749","310","322","0.046493","0.03888","0.094958"
"Pasto, Narino, Colombia","CM","CPAS3","2.4","-77.28","10","2562","312","324","0.052417","0.050772","0.110797"
"Villavicencio, Meta, Colombia","CM","VIL","4.11","-73.69","10","1109","316","328","0.143512","0.14895","0.08254"
"Apartado, Antioquia, Colombia","CM","APAC","7.9","-76.58","10","103.9","317","328","0.012894","0.015911","0.010686"
"Zaragoza, Antioquia, Colombia","CM","ZAR","7.49","-74.86","00","205","319","330","0.080721","0.041589","0.024137"
"Guapi, Cauca, Colombia","CM","CGUAP","2.57","-77.89","10","38","323","335","1.364288","1.355755","0.07734"
