"Nombre Estación","Red","Código","Latitud(°)","Longitud(°)","Localizador","Elevación(msnm)","Dist.Epi(km)","Dist.Hip(km)","PGA EW(cm/s^2)","PGA NS(cm/s^2)","PGA Z(cm/s^2)"
"Yopal, Casanare, Colombia","CM","CYOPA","5.37","-72.41","10","407","73","73","0.18424","0.219798","0.143161"
"Yopal, Casanare, Colombia","CM","YPLC","5.4","-72.38","10","696","78","78","0.234825","0.414637","0.215256"
"La Rusia, Boyaca, Colombia","CM","RUS","5.89","-73.08","00","3697","88","88","0.21366","0.216225","0.16166"
"Chingaza, Cundinamarca","CM","CHI","4.63","-73.74","10","3140","96","96","0.266513","0.719245","0.198456"
"Bogota, SGC","CM","BOG","4.64","-74.08","11","2584","129","129","0.066906","0.056993","0.024399"
"Villavicencio, Meta, Colombia","CM","VIL","4.11","-73.69","10","1109","134","134","0.753066","0.537168","0.341179"
"Barichara, Santander, Colombia","CM","BAR2","6.59","-73.18","10","1864","167","167","1.306292","0.874526","0.393176"
"Tame, Arauca, Colombia","CM","TAM","6.44","-71.79","10","462.1","201","201","0.28668","0.256383","0.113083"
"Lejanias, Meta, Colombia","CM","CLEJA","3.54","-74.04","10","749","208","208","0.189223","0.213163","0.14072"
"Norcasia, Caldas, Colombia","CM","NOR","5.56","-74.87","10","536","211","211","0.114316","0.252818","0.068926"
"San Juan de Arama, Meta, Colombia","CM","ARAMC","3.35","-73.94","00","665","221","221","0.329782","0.358287","0.220704"
"Barrancabermeja, Santander, Colombia","CM","BRJC","6.97","-73.74","10","108","223","223","0.175069","0.1872","0.08133"
"Puerto Berrio 1, Antioquia","CM","PTB1","6.53","-74.46","00","141","225","225","0.086996","0.082982","0.087194"
"Puerto Berrio, Antioquia, Colombia","CM","PTB","6.54","-74.46","10","260","226","226","0.28218","0.32662","0.231835"
"Puerto Gaitan, Meta, Colombia","CM","PGA6","3.78","-71.33","00","177","239","239","0.094457","0.084391","0.052908"
"Pamplona, Norte de Santander, Colombia","CM","PAM","7.34","-72.7","10","3676","251","251","0.067986","0.053041","0.052287"
"Pirana, Nevado del Ruiz, Colombia","CM","PIRM","4.9","-75.28","00","4473.6","252","252","0","0.023679","0.013855"
"Uribe, Meta, Colombia","CM","URMC","3.25","-74.38","10","725","256","256","0.109738","0.153981","0.056675"
"Prado, Tolima, Colombia","CM","PRA","3.71","-74.89","00","457","259","259","0.047974","0.074761","0.035697"
"Villamaria, Caldas, Colombia","CM","GUY2C","5.22","-75.36","10","3605","260","260","0.015363","0.018073","0.014113"
"Manizales, Caldas, Colombia","CM","MAN1C","5.07","-75.52","10","2199","278","278","0.39352","0.194948","0.761926"
"Ortega, Tolima, Colombia","CM","ORTC","3.91","-75.25","10","446","281","281","0.046622","0.050172","0.022594"
"San Jose del Guaviare, Guaviare, Colombia","CM","GUA","2.54","-72.63","10","217","288","288","0.170611","0.163813","0.067603"
"Salento, Quindio, Colombia","CM","SLNT","4.64","-75.57","10","1990","288","288","0.066457","0.06663","0.169012"
"Bochalema, Norte de Santander, Colombia","CM","BLMC","7.71","-72.6","10","996","293","293","0.026425","0.02952","0.018119"
"Calarca, Quindio, Colombia","CM","CCALA","4.51","-75.63","10","1795","297","297","0.073485","0.084071","0.056096"
"Armenia, Quindio","CM","ARMEC","4.56","-75.66","10","1554","299","299","0.11182","0.106385","0.114432"
"Riosucio, Caldas, Colombia","CM","RIO2C","5.42","-75.71","10","1958","300","300","0.010526","0.011821","0.009953"
"Pereira, Risaralda, Colombia","CM","CPER3","4.81","-75.74","10","1318","303","303","0.77063","0.808733","0.547248"
"Santa Helena, Medellin, Colombia","CM","HEL","6.19","-75.53","00","2857","303","303","0.019032","0.012411","0.015956"
"Genova, Quindio, Colombia","CM","CGENO","4.25","-75.79","10","1513","322","322","0.004961","0.01415","0.006669"
"Zaragoza, Antioquia, Colombia","CM","ZAR","7.49","-74.86","00","205","335","335","0.03815","0.026774","0.014576"
"Ciudad Bolivar, Antioquia, Colombia","CM","CBOC","5.86","-76.01","00","1401","342","342","0.006079","0.006617","0.003101"
"La Macarena, Meta, Colombia","CM","MACC","2.15","-73.85","10","283","342","342","0.13835","0.185245","0.036561"
"Ocana, Norte de Santander, Colombia","CM","OCA","8.24","-73.32","10","1264","350","350","0.084234","0.102318","0.035365"
"San Jose del Palmar, Choco, Colombia","CM","PAL","4.9","-76.28","10","675","363","363","0.007529","0.006871","0.008076"
"Embalse de Betania","CM","BET","2.72","-75.42","10","540","376","376","0.014575","0.015857","0.010939"
"Quibdo, Choco, Colombia","CM","QUBC","5.75","-76.52","10","92","395","395","0.007404","0.009465","0.032223"
"Volcan Nevado del Huila, Cauca, Colombia","CM","MARO","2.84","-75.95","00","2207","412","412","0.0273","0.028125","0.007186"
"Dabeiba, Antioquia, Colombia","CM","DBB","7.02","-76.21","10","756","413","413","0.003858","0.00436","0.003357"
"Garzon, Huila, Colombia","CM","GARC","2.19","-75.49","10","1999","426","426","0.058201","0.037801","0.033049"
"Jamundi, Valle del Cauca, Colombia","CM","JAMC","3.21","-76.67","10","1760","457","457","0.00593","0.008456","0.00529"
"Murindo, Antioquia, Colombia","CM","MRND","6.99","-76.78","10","24","466","466","0.02307","0.026086","0.018838"
"Volcan Purace, Cauca, Colombia","CM","CONO","2.33","-76.4","00","4294","486","486","0.007721","0.00909","0.00469"
