"Nombre Estación","Red","Código","Latitud(°)","Longitud(°)","Localizador","Elevación(msnm)","Dist.Epi(km)","Dist.Hip(km)","PGA EW(cm/s^2)","PGA NS(cm/s^2)","PGA Z(cm/s^2)"
"Barichara, Santander, Colombia","CM","BAR2","6.59","-73.18","10","1864","26","155","2.012112","3.48617","1.182617"
"Barrancabermeja, Santander, Colombia","CM","BRJC","6.97","-73.74","10","108","65","166","1.2176","1.303168","0.691466"
"Pamplona, Norte de Santander, Colombia","CM","PAM","7.34","-72.7","10","3676","78","171","0.338503","0.301372","0.294446"
"Pamplona, Norte de Santander, Colombia","CM","CPAMP","7.38","-72.64","10","2384","86","175","1.576095","1.476819","0.630457"
"La Rusia, Boyaca, Colombia","CM","RUS","5.89","-73.08","00","3697","104","185","0.310549","0.253396","0.268771"
"Bochalema, Norte de Santander, Colombia","CM","BLMC","7.71","-72.6","10","996","117","192","0.282167","0.206762","0.164347"
"Puerto Berrio, Antioquia, Colombia","CM","PTB","6.54","-74.46","10","260","145","210","2.085582","1.826698","1.476574"
"Puerto Berrio 1, Antioquia","CM","PTB1","6.53","-74.46","00","141","145","211","0.21678","0.224421","0.202099"
"Ocana, Norte de Santander, Colombia","CM","OCA","8.24","-73.32","10","1264","158","220","1.091225","1.35398","1.294386"
"Tame, Arauca, Colombia","CM","TAM","6.44","-71.79","10","462.1","159","221","0.381207","0.23148","0.246416"
"Yopal, Casanare, Colombia","CM","YPLC","5.4","-72.38","10","696","182","237","0.200746","0.287217","0.316145"
"Yopal, Casanare, Colombia","CM","CYOPA","5.37","-72.41","10","407","183","238","0.266753","0.502626","0.141555"
"Zaragoza, Antioquia, Colombia","CM","ZAR","7.49","-74.86","00","205","200","251","0.877489","0.703002","0.277629"
"Norcasia, Caldas, Colombia","CM","NOR","5.56","-74.87","10","536","234","279","0.308572","0.357473","0.134517"
"Chingaza, Cundinamarca","CM","CHI","4.63","-73.74","10","3140","252","295","0.136443","0.201281","0.090758"
"Bogota, SGC","CM","BOG","4.64","-74.08","10","2584","263","304","0.973035","0.910296","0.795017"
"Santa Helena, Medellin, Colombia","CM","HEL","6.19","-75.53","00","2857","269","310","0.07111","0.068113","0.057103"
"Villamaria, Caldas, Colombia","CM","GUY2C","5.22","-75.36","10","3605","301","337","0.104235","0.0938","0.067571"
"Villavicencio, Meta, Colombia","CM","VIL","4.11","-73.69","10","1109","307","343","0.182763","0.162751","0.09501"
"Pirana, Nevado del Ruiz, Colombia","CM","PIRM","4.9","-75.28","00","4473.6","316","351","0.069568","0.109334","0.057515"
"Barrio Niza, Manizales","CM","NIZA","5.06","-75.47","10","2240","321","356","0.049177","0.066254","0.072598"
"Riosucio, Caldas, Colombia","CM","RIO2C","5.42","-75.71","10","1958","321","355","0.033433","0.049674","0.044107"
"Ciudad Bolivar, Antioquia, Colombia","CM","CBOC","5.86","-76.01","00","1401","331","365","0.048533","0.041443","0.061113"
"Dabeiba, Antioquia, Colombia","CM","DBB","7.02","-76.21","10","756","336","369","0.086895","0.095397","0.126778"
"Ibague, Tolima","CM","IBA1C","4.45","-75.24","10","1289","349","381","0.439416","0.356648","1.142388"
"San Carlos, Cordoba, Colombia","CM","SCLC","8.77","-75.69","10","56","352","383","0.086887","0.076576","0.048486"
"Ariguani, Magdalena, Colombia","CM","ARGC","9.86","-74.25","10","187","357","389","0.06513","0.070421","0.055283"
"Filandia, Quindio, Colombia","CM","FLND","4.69","-75.62","30","2010","360","391","0.144464","0.109408","0.157082"
"Salento, Quindio, Colombia","CM","SLNT","4.64","-75.57","10","1990","360","391","0.088578","0.137538","0.295334"
"Circasia, Quindio, Colombia","CM","CIRS","4.64","-75.61","30","1950","362","393","0.175933","0.188308","0.099972"
"Pereira, Risaralda, Colombia","CM","CPER3","4.81","-75.74","10","1318","362","393","1.246569","1.656858","1.028822"
"Armenia, Quindio","CM","ARMEC","4.56","-75.66","10","1554","373","403","0.507351","0.38545","1.121001"
"Calarca, Quindio, Colombia","CM","CCALA","4.51","-75.63","10","1795","374","404","0.020383","0.034026","0.026799"
"Lejanias, Meta, Colombia","CM","CLEJA","3.54","-74.04","10","749","379","408","0.275017","0.202973","0.790131"
"Quibdo, Choco, Colombia","CM","QUBC","5.75","-76.52","10","92","389","417","0.057724","0.064512","0.028229"
"Apartado, Antioquia, Colombia","CM","APAC","7.9","-76.58","10","103.9","394","423","0.064064","0.039458","0.029655"
"Prado, Tolima, Colombia","CM","PRA","3.71","-74.89","00","457","395","423","0.093743","0.12553","0.094261"
"San Juan de Arama, Meta, Colombia","CM","ARAMC","3.35","-73.94","00","665","396","425","0.146906","0.263393","0.108093"
"Ortega, Tolima, Colombia","CM","ORTC","3.91","-75.25","10","446","397","426","0.068806","0.078338","0.05435"
"Puerto Gaitan, Meta, Colombia","CM","PGA6","3.78","-71.33","00","177","397","425","0.089046","0.109074","0.082381"
"Murindo, Antioquia, Colombia","CM","MRND","6.99","-76.78","10","24","398","426","0.138488","0.089035","0.17085"
"San Jose del Palmar, Choco, Colombia","CM","PAL","4.9","-76.28","10","675","405","433","0.085929","0.109213","0.071795"
"Genova, Quindio, Colombia","CM","CGENO","4.25","-75.79","10","1513","407","435","0.010096","0.012488","0.009629"
"San Jacinto, Bolivar, Colombia","CM","SJC","9.9","-75.18","10","596","407","434","0.139607","0.1219","0.056747"
"Los Cordobas, Cordoba, Colombia","CM","LCBC","8.86","-76.37","00","75","418","445","0.09982","0.120719","0.068389"
"Uribe, Meta, Colombia","CM","URMC","3.25","-74.38","10","725","420","447","0.096899","0.09005","0.084602"
"Yotoco, Valle, Colombia","CM","YOT","3.98","-76.34","10","1040","473","497","0.007605","0.007207","0.007771"
"San Jose del Guaviare, Guaviare, Colombia","CM","GUA","2.54","-72.63","10","217","480","504","0.192312","0.172464","0.081806"
"Santa Marta, Magdalena, Colombia","CM","SMAR","11.16","-74.22","10","122","496","519","0.08434","0.095716","0.085534"
"Embalse de Betania","CM","BET","2.72","-75.42","10","540","520","542","0.010302","0.019596","0.009666"
"La Macarena, Meta, Colombia","CM","MACC","2.15","-73.85","10","283","526","548","0.051488","0.039342","0.044136"
"Jamundi, Valle del Cauca, Colombia","CM","JAMC","3.21","-76.67","10","1760","558","579","0.098455","0.066774","0.122343"
"Garzon, Huila, Colombia","CM","GARC","2.19","-75.49","10","1999","577","597","0.042054","0.030625","0.046795"
