"Nombre Estación","Red","Código","Latitud(°)","Longitud(°)","Localizador","Elevación(msnm)","Dist.Epi(km)","Dist.Hip(km)","PGA EW(cm/s^2)","PGA NS(cm/s^2)","PGA Z(cm/s^2)"
"Bogota, SGC","CM","BOG","4.64","-74.08","10","2584","33","37","1.410533","1.168733","0.947946"
"Chingaza, Cundinamarca","CM","CHI","4.63","-73.74","10","3140","62","64","0.112194","0.144557","0.07741"
"Villavicencio, Meta, Colombia","CM","VIL","4.11","-73.69","10","1109","69","71","0.392219","0.247817","0.119846"
"Lejanias, Meta, Colombia","CM","CLEJA","3.54","-74.04","10","749","98","99","0.089692","0.0824","0.092764"
"Prado, Tolima, Colombia","CM","PRA","3.71","-74.89","00","457","104","105","0.131692","0.148904","0.113842"
"San Juan de Arama, Meta, Colombia","CM","ARAMC","3.35","-73.94","00","665","121","122","0.115258","0.143444","0.094637"
"Ortega, Tolima, Colombia","CM","ORTC","3.91","-75.25","10","446","123","124","0.08411","0.087655","0.105538"
"Pirana, Nevado del Ruiz, Colombia","CM","PIRM","4.9","-75.28","00","4473.6","128","129","0.037609","0.033945","0.02743"
"Uribe, Meta, Colombia","CM","URMC","3.25","-74.38","10","725","129","130","0.110781","0.143312","0.093995"
"Norcasia, Caldas, Colombia","CM","NOR","5.56","-74.87","10","536","147","148","0.111811","0.124664","0.060167"
"Salento, Quindio, Colombia","CM","SLNT","4.64","-75.57","10","1990","149","150","0.081504","0.112923","0.202053"
"Circasia, Quindio, Colombia","CM","CIRS","4.64","-75.61","30","1950","153","154","0.162882","0.136827","0.084351"
"Calarca, Quindio, Colombia","CM","CCALA","4.51","-75.63","10","1795","154","155","0.022581","0.035308","0.020646"
"Villamaria, Caldas, Colombia","CM","GUY2C","5.22","-75.36","10","3605","155","156","0.018219","0.024469","0.019803"
"Barrio Niza, Manizales","CM","NIZA","5.06","-75.47","10","2240","155","155","0.073811","0.0665","0.102054"
"Filandia, Quindio, Colombia","CM","FLND","4.69","-75.62","30","2010","156","156","0.104651","0.101809","0.104206"
"Genova, Quindio, Colombia","CM","CGENO","4.25","-75.79","10","1513","172","173","0.015562","0.014847","0.017038"
"La Rusia, Boyaca, Colombia","CM","RUS","5.89","-73.08","00","3697","211","211","0.021383","0.020899","0.021934"
"Embalse de Betania","CM","BET","2.72","-75.42","10","540","227","228","0.01822","0.018065","0.018922"
"San Jose del Palmar, Choco, Colombia","CM","PAL","4.9","-76.28","10","675","233","234","0.017209","0.015355","0.017214"
"Yopal, Casanare, Colombia","CM","YPLC","5.4","-72.38","10","696","235","236","0.074149","0.075914","0.042282"
"Yotoco, Valle, Colombia","CM","YOT","3.98","-76.34","10","1040","237","238","0.009864","0.008959","0.00822"
"Puerto Berrio 1, Antioquia","CM","PTB1","6.53","-74.46","00","141","239","240","0.017258","0.014954","0.013762"
"Puerto Berrio, Antioquia, Colombia","CM","PTB","6.54","-74.46","10","260","240","240","0.059969","0.062018","0.055484"
"Santa Helena, Medellin, Colombia","CM","HEL","6.19","-75.53","00","2857","245","246","0.029199","0.02184","0.016857"
"La Macarena, Meta, Colombia","CM","MACC","2.15","-73.85","10","283","254","255","0.067172","0.061321","0.031556"
"Ciudad Bolivar, Antioquia, Colombia","CM","CBOC","5.86","-76.01","00","1401","255","256","0.008614","0.01","0.007329"
"Volcan Nevado del Huila, Cauca, Colombia","CM","MARO","2.84","-75.95","00","2207","257","257","0.062878","0.07621","0.042"
"Barichara, Santander, Colombia","CM","BAR2","6.59","-73.18","10","1864","272","272","0.042446","0.051752","0.025082"
"San Jose del Guaviare, Guaviare, Colombia","CM","GUA","2.54","-72.63","10","217","273","274","0.028979","0.028099","0.035763"
"Garzon, Huila, Colombia","CM","GARC","2.19","-75.49","10","1999","282","283","0.071094","0.067503","0.048767"
"Barrancabermeja, Santander, Colombia","CM","BRJC","6.97","-73.74","10","108","292","293","0.094214","0.080425","0.022758"
"Jamundi, Valle del Cauca, Colombia","CM","JAMC","3.21","-76.67","10","1760","300","300","0.054333","0.046384","0.057124"
"Puerto Gaitan, Meta, Colombia","CM","PGA6","3.78","-71.33","00","177","331","331","0.023835","0.021701","0.008615"
"Volcan Purace, Cauca, Colombia","CM","CONO","2.33","-76.4","00","4294","332","332","0.014836","0.022022","0.009153"
"Zaragoza, Antioquia, Colombia","CM","ZAR","7.49","-74.86","00","205","351","352","0.02004","0.013167","0.009499"
"San Agustin, Huila, Colombia","CM","CSAGU","1.88","-76.28","10","1648","360","360","0.01162","0.013103","0.009707"
"Dabeiba, Antioquia, Colombia","CM","DBB","7.02","-76.21","10","756","364","365","0.004399","0.004405","0.006105"
"Pamplona, Norte de Santander, Colombia","CM","PAM","7.34","-72.7","10","3676","370","370","0.010253","0.008391","0.00844"
"Ocana, Norte de Santander, Colombia","CM","OCA","8.24","-73.32","10","1264","440","440","0.024714","0.033773","0.019981"
