"Nombre Estación","Red","Código","Latitud(°)","Longitud(°)","Localizador","Elevación(msnm)","Dist.Epi(km)","Dist.Hip(km)","PGA EW(cm/s^2)","PGA NS(cm/s^2)","PGA Z(cm/s^2)"
"Murindo, Antioquia, Colombia","CM","MRND","6.99","-76.78","10","24","25","44","66.944901","103.244608","35.276855"
"Dabeiba, Antioquia, Colombia","CM","DBB","7.02","-76.21","10","756","83","91","0.796433","0.79876","0.652715"
"Apartado, Antioquia, Colombia","CM","APAC","7.9","-76.58","10","103.9","95","102","0.445091","0.563597","0.410187"
"Quibdo, Choco, Colombia","CM","QUBC","5.75","-76.52","10","92","161","165","1.75343","1.779745","0.397219"
"Ciudad Bolivar, Antioquia, Colombia","CM","CBOC","5.86","-76.01","00","1401","175","179","0.309049","0.264326","0.163811"
"Medellin, Antioquia, Colombia","CM","MEDEC","6.28","-75.59","10","1552","178","182","0.339589","0.454145","0.953318"
"Santa Helena, Medellin, Colombia","CM","HEL","6.19","-75.53","00","2857","189","193","0.069346","0.089842","0.059624"
"San Carlos, Cordoba, Colombia","CM","SCLC","8.77","-75.69","10","56","230","233","0.025977","0.02128","0.014477"
"Riosucio, Caldas, Colombia","CM","RIO2C","5.42","-75.71","10","1958","235","238","0.043998","0.063464","0.04974"
"Zaragoza, Antioquia, Colombia","CM","ZAR","7.49","-74.86","00","205","235","238","0.133147","0.113818","0.069737"
"San Jose del Palmar, Choco, Colombia","CM","PAL","4.9","-76.28","10","675","259","261","0.246917","0.265296","0.122657"
"Villamaria, Caldas, Colombia","CM","GUY2C","5.22","-75.36","10","3605","276","278","0.040756","0.032545","0.040667"
"Manizales, Caldas, Colombia","CM","MAN1C","5.07","-75.52","10","2199","278","281","0.563075","0.556835","1.076717"
"Barrio Niza, Manizales","CM","NIZA","5.06","-75.47","10","2240","283","285","0.067051","0.046074","0.101298"
"Puerto Berrio, Antioquia, Colombia","CM","PTB","6.54","-74.46","10","260","284","286","0.069804","0.057273","0.057765"
"Puerto Berrio 1, Antioquia","CM","PTB1","6.53","-74.46","00","141","284","286","0.033226","0.023671","0.029513"
"Norcasia, Caldas, Colombia","CM","NOR","5.56","-74.87","10","536","289","291","0.030006","0.040869","0.021153"
"Pereira, Risaralda, Colombia","CM","CPER3","4.81","-75.74","10","1318","291","294","1.604847","1.663879","0.917506"
"Pirana, Nevado del Ruiz, Colombia","CM","PIRM","4.9","-75.28","00","4473.6","309","311","0.025713","0.021949","0.021555"
"Filandia, Quindio, Colombia","CM","FLND","4.69","-75.62","30","2010","310","312","0.226661","0.163363","0.200444"
"Circasia, Quindio, Colombia","CM","CIRS","4.64","-75.61","30","1950","315","317","0.261009","0.266517","0.20941"
"Salento, Quindio, Colombia","CM","SLNT","4.64","-75.57","10","1990","317","319","0.184014","0.236964","0.215673"
"Calarca, Quindio, Colombia","CM","CCALA","4.51","-75.63","10","1795","327","329","0.019392","0.024049","0.022035"
"Genova, Quindio, Colombia","CM","CGENO","4.25","-75.79","10","1513","346","348","0.015431","0.021162","0.018794"
"Barrancabermeja, Santander, Colombia","CM","BRJC","6.97","-73.74","10","108","355","357","0.047292","0.05877","0.02201"
"Yotoco, Valle, Colombia","CM","YOT","3.98","-76.34","10","1040","357","359","0.058995","0.054754","0.044469"
"San Jacinto, Bolivar, Colombia","CM","SJC","9.9","-75.18","10","596","365","367","0.043565","0.053645","0.022835"
"Ortega, Tolima, Colombia","CM","ORTC","3.91","-75.25","10","446","405","407","0.024327","0.02247","0.017101"
"Ocana, Norte de Santander, Colombia","CM","OCA","8.24","-73.32","10","1264","420","421","0.179282","0.12212","0.092013"
"Barichara, Santander, Colombia","CM","BAR2","6.59","-73.18","10","1864","421","423","0.067914","0.085117","0.039084"
"Bogota, SGC","CM","BOG","4.64","-74.08","10","2584","422","424","0.561406","0.735763","0.395875"
"Ariguani, Magdalena, Colombia","CM","ARGC","9.86","-74.25","10","187","426","427","0.005083","0.019861","0.019237"
"Jamundi, Valle del Cauca, Colombia","CM","JAMC","3.21","-76.67","10","1760","437","438","0.067613","0.069733","0.056141"
"Prado, Tolima, Colombia","CM","PRA","3.71","-74.89","00","457","444","445","0.008927","0.009904","0.008735"
"La Rusia, Boyaca, Colombia","CM","RUS","5.89","-73.08","00","3697","450","451","0.027658","0.02462","0.01037"
"Chingaza, Cundinamarca","CM","CHI","4.63","-73.74","10","3140","452","454","0.012604","0.015679","0.009172"
"Pamplona, Norte de Santander, Colombia","CM","PAM","7.34","-72.7","10","3676","471","472","0.020737","0.019651","0.011034"
"Pamplona, Norte de Santander, Colombia","CM","CPAMP","7.38","-72.64","10","2384","478","479","0","0","0.532119"
"Isla Gorgona, Poblado Guapi, Cauca, Colombia","CM","GRPC","2.97","-78.17","10","13","483","484","0.030259","0.022106","0.057641"
"Bochalema, Norte de Santander, Colombia","CM","BLMC","7.71","-72.6","10","996","485","486","0.016742","0.018874","0.011364"
"Volcan Nevado del Huila, Cauca, Colombia","CM","MARO","2.84","-75.95","00","2207","490","491","0.020471","0.026542","0.015888"
"Villavicencio, Meta, Colombia","CM","VIL","4.11","-73.69","10","1109","493","495","0.016174","0.016253","0.034733"
"Lejanias, Meta, Colombia","CM","CLEJA","3.54","-74.04","10","749","514","515","0.231924","0.213911","0.259992"
"Uribe, Meta, Colombia","CM","URMC","3.25","-74.38","10","725","518","519","0.00878","0.007966","0.007721"
"Embalse de Betania","CM","BET","2.72","-75.42","10","540","519","521","0.007521","0.009395","0.010617"
"Pasto, Narino, Colombia","CM","CPAS3","2.4","-77.28","10","2562","528","529","0.104414","0.103722","0.221669"
"San Juan de Arama, Meta, Colombia","CM","ARAMC","3.35","-73.94","00","665","537","538","0.020044","0.020031","0.024879"
"Volcan Purace, Cauca, Colombia","CM","CONO","2.33","-76.4","00","4294","538","539","0.009925","0.012417","0.00857"
"Yopal, Casanare, Colombia","CM","CYOPA","5.37","-72.41","10","407","540","541","0.517397","0.327539","0.308472"
"Yopal, Casanare, Colombia","CM","YPLC","5.4","-72.38","10","696","542","543","0.025841","0.020195","0.011441"
"Balboa, Cauca - Colombia","CM","BBAC","2.02","-77.25","00","1713","570","571","0.015028","0.008641","0.008302"
"Garzon, Huila, Colombia","CM","GARC","2.19","-75.49","10","1999","574","575","0.016891","0.015292","0.010703"
"Tame, Arauca, Colombia","CM","TAM","6.44","-71.79","10","462.1","576","577","0.023584","0.01876","0.021144"
"San Agustin, Huila, Colombia","CM","CSAGU","1.88","-76.28","10","1648","589","590","0.011056","0.01142","0.008746"
