"Nombre Estación","Red","Código","Latitud(°)","Longitud(°)","Localizador","Elevación(msnm)","Dist.Epi(km)","Dist.Hip(km)","PGA EW(cm/s^2)","PGA NS(cm/s^2)","PGA Z(cm/s^2)"
"Floridablanca, Santander, Colombia","CM","CBUCF","7.07","-73.07","10","1147","29","153","24.657186","38.436778","11.933245"
"Barrancabermeja, Santander, Colombia","CM","BRJC","6.97","-73.74","10","108","66","164","36.271159","41.85836","9.525334"
"Pamplona, Norte de Santander, Colombia","CM","PAM","7.34","-72.7","10","3676","77","169","5.436399","5.364477","4.486732"
"Pamplona, Norte de Santander, Colombia","CM","CPAM3","7.36","-72.66","10","2422.5","82","171","2.271038","2.159448","1.932819"
"Pamplona, Norte de Santander, Colombia","CM","CPAMP","7.38","-72.64","10","2384","85","173","6.039029","5.11968","2.121344"
"La Rusia, Boyaca, Colombia","CM","RUS","5.89","-73.08","00","3697","104","183","4.905575","5.407196","3.005945"
"Bochalema, Norte de Santander, Colombia","CM","BLMC","7.71","-72.6","10","996","116","190","2.888275","3.512542","1.810706"
"Cucuta, Norte de Santander, Colombia","CM","CCUC3","7.87","-72.5","10","439","137","204","4.06786","5.760502","3.952287"
"Sardinata, Norte de Santander, Colombia","CM","CSARD","8.06","-72.79","10","578","143","208","2.784303","3.742209","1.854769"
"Tunja, Boyaca, Colombia","CM","CTUN3","5.55","-73.36","10","2740","143","208","5.302779","3.574004","1.775976"
"Puerto Berrio, Antioquia, Colombia","CM","PTB","6.54","-74.46","10","260","146","210","19.108107","17.633995","11.016515"
"Puerto Berrio 1, Antioquia","CM","PTB1","6.53","-74.46","00","141","146","210","4.705972","3.757565","2.243346"
"Ocana, Norte de Santander, Colombia","CM","OCA","8.24","-73.32","10","1264","158","218","22.717132","19.58801","16.343052"
"Tame, Arauca, Colombia","CM","TAM","6.44","-71.79","10","462.1","158","219","4.154629","1.965656","2.553521"
"San Pablo de Borbur, Boyaca, Colombia","CM","SPBC","5.65","-74.07","10","783","165","223","9.706416","10.817565","4.662628"
"Yopal, Casanare, Colombia","CM","YPLC","5.4","-72.38","10","696","182","236","2.779082","4.139295","3.898391"
"Yopal, Casanare, Colombia","CM","CYOPA","5.37","-72.41","10","407","183","237","1.388933","1.262168","1.666554"
"Zaragoza, Antioquia, Colombia","CM","ZAR","7.49","-74.86","00","205","201","251","13.773433","6.801808","3.976964"
"Cerro Tablazo, Cundinamarca, Colombia","CM","TABC","5.01","-74.2","20","3500","232","277","","","2.786282"
"Norcasia, Caldas, Colombia","CM","NOR","5.56","-74.87","10","536","235","279","5.079962","4.769719","2.342532"
"Chingaza, Cundinamarca","CM","CHI","4.63","-73.74","10","3140","253","294","3.545105","5.586152","2.04513"
"El Rosal, Cundinamarca, Colombia","CM","ROSC","4.84","-74.32","10","2987","255","296","4.953611","9.044876","4.87088"
"Bogota, SGC","CM","BOG","4.64","-74.08","10","2584","263","303","4.206179","6.43333","2.327562"
"Santa Helena, Medellin, Colombia","CM","HEL","6.19","-75.53","00","2857","270","309","1.96501","2.062074","1.993091"
"Arauca, Arauca, Colombia","CM","ARAUC","7.06","-70.71","10","129","273","312","1.263872","1.638173","0.57848"
"Medellin, Antioquia, Colombia","CM","MEDEC","6.28","-75.59","10","1552","275","313","4.831011","5.272959","1.90347"
"Cerro Cruz Verde, Chipaque, Cundinamarca, Colombia","CM","CVER","4.52","-74.07","10","3604","276","314","2.821457","5.314708","2.71782"
"San Jose de Ure, Cordoba, Colombia","CM","URE","7.75","-75.53","10","251","281","318","11.368082","19.497977","3.475338"
"Villavicencio, Meta, Colombia","CM","CVIL1","4.17","-73.64","10","463","300","335","2.770389","4.482752","2.657656"
"Villamaria, Caldas, Colombia","CM","GUY2C","5.22","-75.36","10","3605","301","337","3.630332","3.490548","1.803139"
"Villavicencio, Meta, Colombia","CM","VIL","4.11","-73.69","10","1109","308","343","4.983914","6.536616","2.397748"
"Pirana, Nevado del Ruiz, Colombia","CM","PIRM","4.9","-75.28","00","4473.6","317","351","2.864431","3.876854","2.069416"
"Barrio Niza, Manizales","CM","NIZA","5.06","-75.47","10","2240","322","355","1.45716","2.478441","1.919216"
"Riosucio, Caldas, Colombia","CM","RIO2C","5.42","-75.71","10","1958","322","355","0.780287","0.889931","0.635394"
"Acacias, Meta, Colombia","CM","ACH1","3.94","-73.67","10","491","326","359","2.125516","2.323922","1.258736"
"Manizales, Caldas, Colombia","CM","MAN1C","5.07","-75.52","10","2199","326","359","13.131369","9.490917","2.986058"
"Ciudad Bolivar, Antioquia, Colombia","CM","CBOC","5.86","-76.01","00","1401","332","365","0.914642","0.966885","0.560604"
"Acacias, Meta, Colombia","CM","ACH6","3.9","-73.78","00","566","333","366","1.013059","1.114686","0.524239"
"Dabeiba, Antioquia, Colombia","CM","DBB","7.02","-76.21","10","756","337","369","1.28038","1.717801","0.904513"
"San Carlos, Cordoba, Colombia","CM","SCLC","8.77","-75.69","10","56","352","383","1.345524","1.424186","0.763456"
"Ariguani, Magdalena, Colombia","CM","ARGC","9.86","-74.25","10","187","358","388","0.804432","0.975153","0.624059"
"Filandia, Quindio, Colombia","CM","FLND","4.69","-75.62","30","2010","361","391","5.428581","5.201736","0.809415"
"Salento, Quindio, Colombia","CM","SLNT","4.64","-75.57","10","1990","361","391","4.565183","5.738357","2.66723"
"Circasia, Quindio, Colombia","CM","CIRS","4.64","-75.61","30","1950","363","393","5.697149","6.746411","1.649108"
"Armenia, Quindio","CM","ARMEC","4.56","-75.66","10","1554","374","403","4.305627","5.329553","1.322742"
"Calarca, Quindio, Colombia","CM","CCALA","4.51","-75.63","10","1795","375","404","0.534957","0.941843","0.341314"
"Penas Blanca Quindio","UQ","PBLA","4.48","-75.64","00","2003","378","407","0.799557","0.61435","0.441651"
"Lejanias, Meta, Colombia","CM","CLEJA","3.54","-74.04","10","749","379","408","1.814466","1.786923","0.9847"
"Apartado, Antioquia, Colombia","CM","APAC","7.9","-76.58","10","103.9","395","423","1.156916","0.925981","0.55763"
"Prado, Tolima, Colombia","CM","PRA","3.71","-74.89","00","457","395","423","2.916656","2.420701","1.425212"
"Puerto Gaitan, Meta, Colombia","CM","PGA6","3.78","-71.33","00","177","396","424","1.309161","1.88342","0.789811"
"San Juan de Arama, Meta, Colombia","CM","ARAMC","3.35","-73.94","00","665","397","424","3.404205","6.009001","2.632837"
"Ortega, Tolima, Colombia","CM","ORTC","3.91","-75.25","10","446","398","426","1.578527","1.936698","1.014208"
"Murindo, Antioquia, Colombia","CM","MRND","6.99","-76.78","10","24","399","427","2.348896","2.008752","1.966667"
"San Jose del Palmar, Choco, Colombia","CM","PAL","4.9","-76.28","10","675","406","433","1.554033","2.143478","0.47219"
"San Jacinto, Bolivar, Colombia","CM","SJC","9.9","-75.18","10","596","407","434","1.134223","1.156256","0.575628"
"Genova, Quindio, Colombia","CM","CGENO","4.25","-75.79","10","1513","408","435","0.331923","0.28411","0.325766"
"Valledupar, Cesar","CM","VALLC","10.51","-73.26","10","354","410","437","1.59775","1.416682","0.733307"
"Uribe, Meta, Colombia","CM","URMC","3.25","-74.38","10","725","420","447","1.843346","1.93254","0.884781"
"Bahia Solano, Choco, Colombia","CM","SOL","6.23","-77.41","10","38","474","497","0.390575","0.52845","0.229156"
