"Nombre Estación","Red","Código","Latitud(°)","Longitud(°)","Localizador","Elevación(msnm)","Dist.Epi(km)","Dist.Hip(km)","PGA EW(cm/s^2)","PGA NS(cm/s^2)","PGA Z(cm/s^2)"
"Pizarro, Choco, Colombia","CM","PIZC","4.97","-77.36","10","38","114","118","1.614807","1.567105","0.885004"
"Bahia Solano, Choco, Colombia","CM","SOL","6.23","-77.41","10","38","134","137","0.603205","0.962933","0.41636"
"Quibdo, Choco, Colombia","CM","QUBC","5.75","-76.52","10","92","200","202","0.574818","0.671022","0.255524"
"Punta Ardita, Choco, Colombia","CM","PTA","7.15","-77.81","10","78","201","203","3.125218","3.8541","1.819146"
"San Jose del Palmar, Choco, Colombia","CM","PAL","4.9","-76.28","10","675","229","231","0.647545","0.814647","0.268141"
"Murindo, Antioquia, Colombia","CM","MRND","6.99","-76.78","10","24","244","245","0.53563","0.567088","0.219927"
"Ciudad Bolivar, Antioquia, Colombia","CM","CBOC","5.86","-76.01","00","1401","257","259","0.086205","0.096456","0.059145"
"Yotoco, Valle, Colombia","CM","YOT","3.98","-76.34","10","1040","267","269","0.11281","0.097119","0.08793"
"Isla Gorgona, Poblado Guapi, Cauca, Colombia","CM","GRPC","2.97","-78.17","10","13","271","273","0.037261","0.040544","0.029441"
"Riosucio, Caldas, Colombia","CM","RIO2C","5.42","-75.71","10","1958","286","287","0.034243","0.040185","0.03078"
"Pereira, Risaralda, Colombia","CM","CPER3","4.81","-75.74","10","1318","291","292","1.999383","1.94482","1.902965"
"Dabeiba, Antioquia, Colombia","CM","DBB","7.02","-76.21","10","756","292","293","0.06984","0.048059","0.03362"
"Jamundi, Valle del Cauca, Colombia","CM","JAMC","3.21","-76.67","10","1760","302","304","0.118835","0.1363","0.051418"
"Armenia, Quindio","CM","ARMEC","4.56","-75.66","10","1554","306","308","3.257343","3.886055","6.88838"
"Genova, Quindio, Colombia","CM","CGENO","4.25","-75.79","10","1513","306","307","0.036416","0.042325","0.02867"
"Filandia, Quindio, Colombia","CM","FLND","4.69","-75.62","30","2010","307","308","0.401674","0.291879","0.158938"
"Circasia, Quindio, Colombia","CM","CIRS","4.64","-75.61","30","1950","309","311","0.560341","0.852468","0.632945"
"Manizales, Caldas, Colombia","CM","MAN1C","5.07","-75.52","10","2199","309","310","0.721503","0.675674","1.959088"
"Calarca, Quindio, Colombia","CM","CCALA","4.51","-75.63","10","1795","311","313","0.052966","0.097473","0.043154"
"Penas Blanca Quindio","UQ","PBLA","4.48","-75.64","00","2003","311","313","0.058195","0.075196","0.044389"
"Salento, Quindio, Colombia","CM","SLNT","4.64","-75.57","10","1990","313","315","0.333733","0.279527","1.065272"
"Medellin, Antioquia, Colombia","CM","MEDEC","6.28","-75.59","10","1552","314","316","0.169263","0.191359","0.552563"
"Barrio Niza, Manizales","CM","NIZA","5.06","-75.47","10","2240","315","316","0.047995","0.05891","0.069817"
"Santa Helena, Medellin, Colombia","CM","HEL","6.19","-75.53","00","2857","318","319","0.020861","0.01973","0.016835"
"Villamaria, Caldas, Colombia","CM","GUY2C","5.22","-75.36","10","3605","325","326","0.030844","0.047862","0.021866"
"Apartado, Antioquia, Colombia","CM","APAC","7.9","-76.58","10","103.9","336","337","0.029998","0.027259","0.017415"
"Pirana, Nevado del Ruiz, Colombia","CM","PIRM","4.9","-75.28","00","4473.6","338","339","0.023906","0.029709","0.021504"
"Pasto, Narino, Colombia","CM","CPAS3","2.4","-77.28","10","2562","353","354","0.134662","0.442907","0.342909"
"Ibague, Tolima","CM","IBA1C","4.45","-75.24","10","1289","355","356","0.259526","0.337612","0.607542"
"Capurgana, Choco, Colombia","CM","CAP2","8.64","-77.36","10","221","375","376","0.0627","0.050994","0.029678"
"Ortega, Tolima, Colombia","CM","ORTC","3.91","-75.25","10","446","376","378","0.094046","0.06767","0.049725"
"Norcasia, Caldas, Colombia","CM","NOR","5.56","-74.87","10","536","379","381","0.023249","0.04285","0.014851"
"Balboa, Cauca - Colombia","CM","BBAC","2.02","-77.25","00","1713","394","395","0.048037","0.031547","0.023436"
"Volcan Purace, Cauca, Colombia","CM","CONO","2.33","-76.4","00","4294","402","403","0.020081","0.024132","0.010711"
"San Jose de Ure, Cordoba, Colombia","CM","URE","7.75","-75.53","10","251","402","403","0.070035","0.085417","0.018773"
"Volcan Sotara, Cauca, Colombia","CM","SOTO","2.13","-76.61","00","3795","409","410","0.045212","0.035051","0.020338"
"Prado, Tolima, Colombia","CM","PRA","3.71","-74.89","00","457","422","423","0.053596","0.04879","0.032596"
"La Plata, Huila, Colombia","CM","CPLAT","2.38","-75.91","10","1111","428","429","0.075476","0.044548","0.038891"
"Neiva, Huila, Colombia","CM","CNEIV","2.94","-75.27","10","514","433","434","0.422429","0.438554","0.272532"
"Embalse de Betania","CM","BET","2.72","-75.42","10","540","437","438","0.017664","0.027231","0.015793"
"Puerto Berrio 1, Antioquia","CM","PTB1","6.53","-74.46","00","141","442","443","0.014031","0.00828","0.008956"
"Puerto Berrio, Antioquia, Colombia","CM","PTB","6.54","-74.46","10","260","443","444","0.048246","0.057988","0.061565"
"Zaragoza, Antioquia, Colombia","CM","ZAR","7.49","-74.86","00","205","445","446","0.164339","0.118434","0.124247"
"Colombia, Huila, Colombia","CM","CLBC","3.38","-74.8","10","785","448","449","0.09044","0.127706","0.105342"
"La Cruz, Narino, Colombia","CM","CRU","1.57","-76.95","10","2761","452","453","0.057587","0.082232","0.042839"
"San Agustin, Huila, Colombia","CM","CSAGU","1.88","-76.28","10","1648","452","453","0.009792","0.011591","0.009185"
"Cerro Tablazo, Cundinamarca, Colombia","CM","TABC","5.01","-74.2","20","3500","455","456","","","0.0054"
"San Pablo de Borbur, Boyaca, Colombia","CM","SPBC","5.65","-74.07","10","783","468","469","0.023471","0.020432","0.012217"
"San Carlos, Cordoba, Colombia","CM","SCLC","8.77","-75.69","10","56","472","473","0.010582","0.013603","0.007007"
"Bogota, SGC","CM","BOG","4.64","-74.08","10","2584","474","475","0.563543","0.394442","0.803394"
"Garzon, Huila, Colombia","CM","GARC","2.19","-75.49","10","1999","474","475","0.083003","0.048208","0.025771"
"Cufino, Narino","CM","CUFI","1.23","-77.34","10","3653","477","478","0.009354","0.008603","0.007185"
"Cerro Cruz Verde, Chipaque, Cundinamarca, Colombia","CM","CVER","4.52","-74.07","10","3604","478","479","0.019836","0.020903","0.014473"
"Pasto Corponarino, Narino","CM","PAS2","1.22","-77.25","10","2641","480","481","0.521286","0.381209","0.441569"
"Pasto Obonuco, Narino","CM","PAS1","1.19","-77.33","10","3227","481","482","0.007313","0.009574","0.006741"
"Uribe, Meta, Colombia","CM","URMC","3.25","-74.38","10","725","496","497","0.029069","0.043995","0.018821"
