"Nombre Estación","Red","Código","Latitud(°)","Longitud(°)","Localizador","Elevación(msnm)","Dist.Epi(km)","Dist.Hip(km)","PGA EW(cm/s^2)","PGA NS(cm/s^2)","PGA Z(cm/s^2)"
"Barrancabermeja, Santander, Colombia","CM","BRJC","6.97","-73.74","10","108","67","165","2.867549","2.71124","0.918704"
"Pamplona, Norte de Santander, Colombia","CM","PAM","7.34","-72.7","10","3676","78","169","0.437448","0.392359","0.370092"
"Pamplona, Norte de Santander, Colombia","CM","CPAM3","7.36","-72.66","10","2422.5","82","171","0.259661","0.349092","0.404015"
"Pamplona, Norte de Santander, Colombia","CM","CPAMP","7.38","-72.64","10","2384","85","173","0.657272","0","0"
"La Rusia, Boyaca, Colombia","CM","RUS","5.89","-73.08","00","3697","103","182","0.1766","0.217345","0.194179"
"Bochalema, Norte de Santander, Colombia","CM","BLMC","7.71","-72.6","10","996","117","191","0.222477","0.260744","0.336587"
"Tunja, Boyaca, Colombia","CM","CTUN3","5.55","-73.36","10","2740","142","207","0.318324","0.124129","0.257563"
"Sardinata, Norte de Santander, Colombia","CM","CSARD","8.06","-72.79","10","578","144","208","0.21018","0.209871","0.363824"
"Puerto Berrio, Antioquia, Colombia","CM","PTB","6.54","-74.46","10","260","147","210","1.456885","1.717697","0.939195"
"Puerto Berrio 1, Antioquia","CM","PTB1","6.53","-74.46","00","141","147","210","0.22056","0.202549","0.148695"
"Tame, Arauca, Colombia","CM","TAM","6.44","-71.79","10","462.1","157","217","0.286118","0.139173","0.585772"
"Ocana, Norte de Santander, Colombia","CM","OCA","8.24","-73.32","10","1264","160","219","1.270767","1.328731","0.964157"
"San Pablo de Borbur, Boyaca, Colombia","CM","SPBC","5.65","-74.07","10","783","164","222","0.441792","0.682434","0.348671"
"Yopal, Casanare, Colombia","CM","YPLC","5.4","-72.38","10","696","180","234","0.2958","0.420438","0.456142"
"Yopal, Casanare, Colombia","CM","CYOPA","5.37","-72.41","10","407","181","235","0.161196","0.211844","0.194289"
"Zaragoza, Antioquia, Colombia","CM","ZAR","7.49","-74.86","00","205","202","252","0.747748","0.628612","0.316088"
"Cerro Tablazo, Cundinamarca, Colombia","CM","TABC","5.01","-74.2","20","3500","232","276","","","0.077809"
"Norcasia, Caldas, Colombia","CM","NOR","5.56","-74.87","10","536","235","279","0.223465","0.28057","0.146417"
"Chingaza, Cundinamarca","CM","CHI","4.63","-73.74","10","3140","251","293","0.07618","0.117464","0.08028"
"El Rosal, Cundinamarca, Colombia","CM","ROSC","4.84","-74.32","10","2987","254","295","0.114148","0.160043","0.096844"
"Bogota, SGC","CM","BOG","4.64","-74.08","10","2584","262","302","0.353227","0.160279","0.516531"
"Santa Helena, Medellin, Colombia","CM","HEL","6.19","-75.53","00","2857","271","310","0.076532","0.065139","0.062633"
"Arauca, Arauca, Colombia","CM","ARAUC","7.06","-70.71","10","129","272","311","0.061987","0.093713","0.042856"
"Cerro Cruz Verde, Chipaque, Cundinamarca, Colombia","CM","CVER","4.52","-74.07","10","3604","275","313","0.077462","0.086955","0.078117"
"Medellin, Antioquia, Colombia","CM","MEDEC","6.28","-75.59","10","1552","275","314","0.178669","0.192618","0.198575"
"San Jose de Ure, Cordoba, Colombia","CM","URE","7.75","-75.53","10","251","282","320","0.491362","0.590418","0.280477"
"Quetame, Cundinamarca, Colombia","CM","CQUET","4.33","-73.86","10","1486","287","324","0.050037","0.066924","0.048925"
"Villavicencio, Meta, Colombia","CM","CVIL1","4.17","-73.64","10","463","298","334","0.117413","0.139279","0.07976"
"Villamaria, Caldas, Colombia","CM","GUY2C","5.22","-75.36","10","3605","301","337","0.055829","0.053715","0.034465"
"Villavicencio, Meta, Colombia","CM","VIL","4.11","-73.69","10","1109","306","341","0.166738","0.15029","0.077897"
"Pirana, Nevado del Ruiz, Colombia","CM","PIRM","4.9","-75.28","00","4473.6","317","351","0.05235","0.068843","0.043735"
"Barrio Niza, Manizales","CM","NIZA","5.06","-75.47","10","2240","322","355","0.034452","0.051468","0.044485"
"Riosucio, Caldas, Colombia","CM","RIO2C","5.42","-75.71","10","1958","322","355","0.016047","0.022959","0.014961"
"Acacias, Meta, Colombia","CM","ACH1","3.94","-73.67","10","491","325","358","0.068963","0.064843","0.04566"
"Acacias, Meta, Colombia","CM","ACH6","3.9","-73.78","00","566","332","364","0.035938","0.051678","0.018711"
"Ciudad Bolivar, Antioquia, Colombia","CM","CBOC","5.86","-76.01","00","1401","333","365","0.029259","0.038339","0.016456"
"Dabeiba, Antioquia, Colombia","CM","DBB","7.02","-76.21","10","756","338","370","0.065319","0.093089","0.05748"
"Ibague, Tolima","CM","IBA1C","4.45","-75.24","10","1289","350","381","0.184933","0.213555","0.053508"
"San Carlos, Cordoba, Colombia","CM","SCLC","8.77","-75.69","10","56","354","385","0.052916","0.038442","0.044125"
"Ariguani, Magdalena, Colombia","CM","ARGC","9.86","-74.25","10","187","359","390","0.074187","0.07062","0.055766"
"Filandia, Quindio, Colombia","CM","FLND","4.69","-75.62","30","2010","361","391","0.116702","0.095588","0.037621"
"Salento, Quindio, Colombia","CM","SLNT","4.64","-75.57","10","1990","361","391","0.072262","0.090616","0.056356"
"Pereira, Risaralda, Colombia","CM","CPER3","4.81","-75.74","10","1318","362","392","0.537769","0.724555","0.436174"
"Circasia, Quindio, Colombia","CM","CIRS","4.64","-75.61","30","1950","363","393","0.14065","0.141436","0.054407"
"Armenia, Quindio","CM","ARMEC","4.56","-75.66","10","1554","374","403","0.127008","0.127786","0.066276"
"Calarca, Quindio, Colombia","CM","CCALA","4.51","-75.63","10","1795","375","404","0.017142","0.028292","0.012334"
"Penas Blanca Quindio","UQ","PBLA","4.48","-75.64","00","2003","377","406","0.023931","0.028414","0.017973"
"Lejanias, Meta, Colombia","CM","CLEJA","3.54","-74.04","10","749","378","406","0.095937","0.05855","0.047125"
"Quibdo, Choco, Colombia","CM","QUBC","5.75","-76.52","10","92","390","418","0.05055","0.058944","0.031906"
"Puerto Gaitan, Meta, Colombia","CM","PGA6","3.78","-71.33","00","177","394","422","0.065036","0.087124","0.047083"
"San Juan de Arama, Meta, Colombia","CM","ARAMC","3.35","-73.94","00","665","395","423","0.127063","0.176316","0.090668"
"Prado, Tolima, Colombia","CM","PRA","3.71","-74.89","00","457","395","422","0.071246","0.093521","0.048882"
"Apartado, Antioquia, Colombia","CM","APAC","7.9","-76.58","10","103.9","397","424","0.042948","0.043597","0.024747"
"Ortega, Tolima, Colombia","CM","ORTC","3.91","-75.25","10","446","397","425","0.062277","0.048327","0.037289"
"Murindo, Antioquia, Colombia","CM","MRND","6.99","-76.78","10","24","400","428","0.070273","0.069218","0.047963"
"San Jose del Palmar, Choco, Colombia","CM","PAL","4.9","-76.28","10","675","406","433","0.037624","0.041627","0.017283"
"Genova, Quindio, Colombia","CM","CGENO","4.25","-75.79","10","1513","408","435","0.005709","0.007527","0.005383"
"San Jacinto, Bolivar, Colombia","CM","SJC","9.9","-75.18","10","596","409","436","0.074291","0.083742","0.053343"
"Valledupar, Cesar","CM","VALLC","10.51","-73.26","10","354","411","438","0.311206","0.193391","0.098226"
"Uribe, Meta, Colombia","CM","URMC","3.25","-74.38","10","725","419","445","0.082376","0.075565","0.06739"
"Cerrejon, Guajira, Colombia","CM","CRJC","11.02","-72.88","00","827","469","493","0.129965","0.114917","0.057128"
"Bahia Solano, Choco, Colombia","CM","SOL","6.23","-77.41","10","38","474","498","0.113014","0.155273","0.093543"
"San Jose del Guaviare, Guaviare, Colombia","CM","GUA","2.54","-72.63","10","217","479","502","0.128569","0.148715","0.07068"
"Neiva, Huila, Colombia","CM","CNEIV","2.94","-75.27","10","514","491","513","0.042736","0.030794","0.036647"
"Santa Marta, Magdalena, Colombia","CM","SMAR","11.16","-74.22","10","122","498","520","0.073395","0.063309","0.051768"
