"Nombre Estación","Red","Código","Latitud(°)","Longitud(°)","Localizador","Elevación(msnm)","Dist.Epi(km)","Dist.Hip(km)","PGA EW(cm/s^2)","PGA NS(cm/s^2)","PGA Z(cm/s^2)"
"Barrancabermeja, Santander, Colombia","CM","BRJC","6.97","-73.74","10","108","69","168","0.579987","0.887921","0.245015"
"Pamplona, Norte de Santander, Colombia","CM","PAM","7.34","-72.7","10","3676","76","171","0.165209","0.155148","0.15302"
"Pamplona, Norte de Santander, Colombia","CM","CPAM3","7.36","-72.66","10","2422.5","81","173","0.091468","0.116724","0.08085"
"Pamplona, Norte de Santander, Colombia","CM","CPAMP","7.38","-72.64","10","2384","84","175","1.119417","0.900458","0.572022"
"La Rusia, Boyaca, Colombia","CM","RUS","5.89","-73.08","00","3697","103","185","0.124101","0.114101","0.117541"
"Bochalema, Norte de Santander, Colombia","CM","BLMC","7.71","-72.6","10","996","116","192","0.130573","0.151687","0.115183"
"Tunja, Boyaca, Colombia","CM","CTUN3","5.55","-73.36","10","2740","142","209","0.214581","0.265946","0.38147"
"Sardinata, Norte de Santander, Colombia","CM","CSARD","8.06","-72.79","10","578","143","210","0.087518","0.075236","0.101467"
"Puerto Berrio, Antioquia, Colombia","CM","PTB","6.54","-74.46","10","260","149","214","1.435507","1.198528","0.832262"
"Puerto Berrio 1, Antioquia","CM","PTB1","6.53","-74.46","00","141","149","214","0.109157","0.138238","0.105658"
"Tame, Arauca, Colombia","CM","TAM","6.44","-71.79","10","462.1","155","218","0.308814","0.316229","0.16947"
"Ocana, Norte de Santander, Colombia","CM","OCA","8.24","-73.32","10","1264","160","222","0.320626","0.410999","0.297345"
"San Pablo de Borbur, Boyaca, Colombia","CM","SPBC","5.65","-74.07","10","783","165","226","0.588129","0.78284","0.210032"
"Yopal, Casanare, Colombia","CM","YPLC","5.4","-72.38","10","696","179","236","0.130302","0.199348","0.155476"
"Zaragoza, Antioquia, Colombia","CM","ZAR","7.49","-74.86","00","205","204","255","0.419015","0.218343","0.138178"
"Cerro Tablazo, Cundinamarca, Colombia","CM","TABC","5.01","-74.2","20","3500","233","279","","","0.057134"
"Norcasia, Caldas, Colombia","CM","NOR","5.56","-74.87","10","536","237","282","0.303563","0.402945","0.156153"
"Chingaza, Cundinamarca","CM","CHI","4.63","-73.74","10","3140","252","295","0.081709","0.101297","0.045549"
"El Rosal, Cundinamarca, Colombia","CM","ROSC","4.84","-74.32","10","2987","255","298","0.160807","0.12406","0.08687"
"Bogota, SGC","CM","BOG","4.64","-74.08","11","2584","263","305","0.050227","0.037467","0.025492"
"Arauca, Arauca, Colombia","CM","ARAUC","7.06","-70.71","10","129","270","311","0.275091","0.293168","0.291289"
"Santa Helena, Medellin, Colombia","CM","HEL","6.19","-75.53","00","2857","273","313","0.062951","0.06809","0.034753"
"Cerro Cruz Verde, Chipaque, Cundinamarca, Colombia","CM","CVER","4.52","-74.07","10","3604","275","315","0.182788","0.134906","0.071957"
"Medellin, Antioquia, Colombia","CM","MEDEC","6.28","-75.59","10","1552","277","317","0.204332","0.195951","0.431317"
"San Jose de Ure, Cordoba, Colombia","CM","URE","7.75","-75.53","10","251","284","323","0.24045","0.40324","0.10756"
"Villavicencio, Meta, Colombia","CM","CVIL1","4.17","-73.64","10","463","299","336","0.075862","0.099433","0.117188"
"Villamaria, Caldas, Colombia","CM","GUY2C","5.22","-75.36","10","3605","303","340","0.040014","0.047653","0.040868"
"Villavicencio, Meta, Colombia","CM","VIL","4.11","-73.69","10","1109","307","343","0.079775","0.090801","0.044836"
"Barrio Niza, Manizales","CM","NIZA","5.06","-75.47","10","2240","324","358","0.044066","0.054463","0.097661"
"Riosucio, Caldas, Colombia","CM","RIO2C","5.42","-75.71","10","1958","324","358","0.030063","0.048429","0.037069"
"Acacias, Meta, Colombia","CM","ACH1","3.94","-73.67","10","491","325","359","0.07433","0.071546","0.038172"
"Ciudad Bolivar, Antioquia, Colombia","CM","CBOC","5.86","-76.01","00","1401","335","368","0.046008","0.046422","0.036001"
"San Carlos, Cordoba, Colombia","CM","SCLC","8.77","-75.69","10","56","356","387","0.016042","0.01617","0.011127"
"Ariguani, Magdalena, Colombia","CM","ARGC","9.86","-74.25","10","187","360","391","0.017713","0.029355","0.023041"
"Filandia, Quindio, Colombia","CM","FLND","4.69","-75.62","30","2010","362","393","0.087627","0.078173","0.047017"
"Salento, Quindio, Colombia","CM","SLNT","4.64","-75.57","10","1990","362","393","0.169132","0.09027","0.35421"
"Circasia, Quindio, Colombia","CM","CIRS","4.64","-75.61","30","1950","365","396","0.079816","0.109456","0.062734"
"Armenia, Quindio","CM","ARMEC","4.56","-75.66","10","1554","375","406","2.772673","3.238258","5.510441"
"Calarca, Quindio, Colombia","CM","CCALA","4.51","-75.63","10","1795","376","406","0.260479","0.20188","0.281241"
"Lejanias, Meta, Colombia","CM","CLEJA","3.54","-74.04","10","749","378","408","0.055982","0.086685","0.109321"
"Penas Blanca Quindio","UQ","PBLA","4.48","-75.64","00","2003","379","409","0.028047","0.048447","0.022032"
"Quibdo, Choco, Colombia","CM","QUBC","5.75","-76.52","10","92","392","421","0.04672","0.054023","0.019026"
"Puerto Gaitan, Meta, Colombia","CM","PGA6","3.78","-71.33","00","177","393","422","0.0525","0.057665","0.055943"
